GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 10-01-2018,,,
,NO,SE,FI
01 - 17,64848,22522,4110
02 - 16,61654,21203,3996
03 - 16,58235,19811,3840
04 - 16,56990,18956,3746
05 - 16,55266,17939,3598
06 - 16,52814,16813,3518
07 - 16,50239,15513,3360
08 - 16,47424,14183,3171
09 - 16,44505,12875,2964
10 - 16,41456,11665,2784
11 - 16,39364,10836,2601
12 - 16,37478,10001,2439
13 - 16,35976,9326,2332
14 - 16,34504,8976,2350
15 - 16,32801,8566,2433
16 - 16,31593,8241,2589
17 - 16,29923,8180,2971
18 - 16,30014,9424,3608
19 - 16,32136,11416,4024
20 - 16,33688,12671,4174
21 - 16,38549,15548,4228
22 - 16,45833,17763,4189
23 - 16,49092,18310,4182
24 - 16,51242,18748,4236
25 - 16,54369,19417,4254
26 - 16,58018,20321,4217
27 - 16,59329,20916,4317
28 - 16,60932,21301,4350
29 - 16,62061,21271,4314
30 - 16,63807,21423,4317
31 - 16,64991,21880,4385
32 - 16,66996,22403,4343
33 - 16,67029,22456,4326
34 - 16,67724,22647,4323
35 - 16,68720,23003,4323
36 - 16,69235,23302,4255
37 - 16,69411,23383,4194
38 - 16,68544,23086,4081
39 - 16,70814,23251,4068
40 - 16,70102,22990,3981
41 - 16,68334,22360,3870
42 - 16,66485,21783,3799
43 - 16,65043,21278,3771
44 - 16,63471,20689,3716
45 - 16,60755,19716,3615
46 - 16,59577,19390,3591
47 - 16,58649,19180,3650
48 - 16,56891,18694,3649
49 - 16,56649,18459,3614
50 - 16,54457,17749,3516
51 - 16,53687,17801,3501
52 - 16,53987,17924,3511
