GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 06-01-2016,,,
,NO,SE,FI
02 - 14,53881,21425,3768
03 - 14,51076,20255,3704
04 - 14,48377,18972,3591
05 - 14,45710,17688,3459
06 - 14,43538,16616,3332
07 - 14,41732,15595,3222
08 - 14,39740,14564,3037
09 - 14,38121,13544,2895
10 - 14,36595,12640,2792
11 - 14,35204,12023,2716
12 - 14,34311,11290,2608
13 - 14,32343,10258,2514
14 - 14,30209,9228,2391
15 - 14,29359,8618,2317
16 - 14,28311,8285,2345
17 - 14,28450,8568,2477
18 - 14,28661,8992,2625
19 - 14,28251,9049,2684
20 - 14,29661,9993,2983
21 - 14,37221,13990,3573
22 - 14,42648,17048,3838
23 - 14,48433,19560,3897
24 - 14,53515,21648,3952
25 - 14,56286,22267,3952
26 - 14,57003,22437,3894
27 - 14,58732,23042,3905
28 - 14,62821,23835,3862
29 - 14,64394,24609,3846
30 - 14,64806,24793,3752
31 - 14,65147,24832,3747
32 - 14,65754,24946,3671
33 - 14,66330,24819,3639
34 - 14,66711,25140,3638
35 - 14,66309,25000,3629
36 - 14,66054,24523,3563
37 - 14,65951,24126,3499
38 - 14,64615,23606,3408
39 - 14,64405,23403,3423
40 - 14,64449,23427,3449
41 - 14,65237,23518,3449
42 - 14,64640,23401,3391
43 - 14,66817,23627,3327
44 - 14,69426,24152,3400
45 - 14,69011,24114,3503
46 - 14,68133,23917,3615
47 - 14,66210,23240,3608
48 - 14,64331,22655,3570
49 - 14,62297,22092,3539
50 - 14,60443,21497,3527
51 - 14,58655,20901,3504
52 - 14,56579,20125,3451
01 - 15,55533,19854,3455
