GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 27-12-2019,,,
,NO,SE,FI
02 - 18,57555,20281,3903
03 - 18,54628,19159,3772
04 - 18,52108,18222,3660
05 - 18,49339,17152,3501
06 - 18,46228,15843,3322
07 - 18,43188,14554,3143
08 - 18,39811,13221,2946
09 - 18,36383,11769,2735
10 - 18,33282,10493,2551
11 - 18,30498,9294,2382
12 - 18,27833,8229,2207
13 - 18,25362,7181,2020
14 - 18,23244,6380,1908
15 - 18,21549,5705,1807
16 - 18,22422,5672,1843
17 - 18,23535,6763,1979
18 - 18,24740,8490,2421
19 - 18,33817,13115,3243
20 - 18,39703,17462,3827
21 - 18,43577,19281,3929
22 - 18,47973,20367,3905
23 - 18,49591,20494,3875
24 - 18,51743,20739,3843
25 - 18,53380,21620,3874
26 - 18,53640,21680,3875
27 - 18,53385,21524,3860
28 - 18,52813,21349,3794
29 - 18,52462,21356,3706
30 - 18,52328,21390,3638
31 - 18,52983,21523,3563
32 - 18,54591,21708,3481
33 - 18,56548,21911,3427
34 - 18,57334,22126,3386
35 - 18,56925,21985,3340
36 - 18,57143,21552,3264
37 - 18,60665,21442,3281
38 - 18,64258,21938,3293
39 - 18,66767,22871,3295
40 - 18,66872,23176,3254
41 - 18,69942,23564,3263
42 - 18,70673,23965,3267
43 - 18,70599,23955,3268
44 - 18,69347,23740,3239
45 - 18,68671,23525,3250
46 - 18,68952,23795,3276
47 - 18,66564,23080,3182
48 - 18,64590,22211,3131
49 - 18,62784,21649,3100
50 - 18,59720,20619,3000
51 - 18,57023,19461,2880
52 - 18,55522,18662,2774
01 - 19,54300,18035,2736
