GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 01-02-2017,,,
,NO,SE,FI
02 - 15,53780,19180,3406
03 - 15,51907,18458,3324
04 - 15,49084,17283,3209
05 - 15,46803,16448,3127
06 - 15,44087,15350,2986
07 - 15,42114,14769,2818
08 - 15,40447,13946,2664
09 - 15,38639,13062,2543
10 - 15,36967,12118,2433
11 - 15,35389,11178,2344
12 - 15,33219,10133,2241
13 - 15,31043,9256,2141
14 - 15,29108,8432,2065
15 - 15,27718,7944,2044
16 - 15,26492,7650,2138
17 - 15,26026,7991,2328
18 - 15,24829,8165,2539
19 - 15,25457,9568,3010
20 - 15,27086,11564,3929
21 - 15,27913,13216,4227
22 - 15,29475,15687,4378
23 - 15,32335,18867,4441
24 - 15,35345,20434,4439
25 - 15,37853,21232,4472
26 - 15,41611,23010,4512
27 - 15,47242,24601,4505
28 - 15,54074,26647,4464
29 - 15,57693,27690,4375
30 - 15,60958,28659,4359
31 - 15,63654,30191,4453
32 - 15,66488,30449,4437
33 - 15,68749,30435,4382
34 - 15,70520,30033,4228
35 - 15,73339,30003,4152
36 - 15,74646,29785,4082
37 - 15,74047,29093,4020
38 - 15,75719,29515,4031
39 - 15,76036,30044,4132
40 - 15,76191,30694,4115
41 - 15,75205,30341,4049
42 - 15,73925,29741,3979
43 - 15,73489,29323,3968
44 - 15,72651,28725,3952
45 - 15,72148,28638,3926
46 - 15,72314,28218,3954
47 - 15,70592,27372,3948
48 - 15,69397,26620,3955
49 - 15,69670,26130,4022
50 - 15,69344,25381,4086
51 - 15,68811,24619,4148
52 - 15,69372,24625,4236
53 - 15,67816,23841,4215
