GWh,,,
Hydro reservoir in GWh,,,
Data was last updated 27-12-2019,,,
,NO,SE,FI
02 - 19,52609,17301,2667
03 - 19,50025,16239,2571
04 - 19,46897,15003,2413
05 - 19,43889,13793,2305
06 - 19,41405,12848,2240
07 - 19,39684,12065,2180
08 - 19,38229,11207,2094
09 - 19,36832,10463,1983
10 - 19,34991,9690,1893
11 - 19,33093,8711,1791
12 - 19,31911,7993,1752
13 - 19,31372,7518,1674
14 - 19,30052,6906,1604
15 - 19,28209,6123,1560
16 - 19,27272,5697,1597
17 - 19,31079,7650,1999
18 - 19,34766,10050,2487
19 - 19,34912,11201,2853
20 - 19,36737,12601,3399
21 - 19,43636,15331,3566
22 - 19,45747,17171,3730
23 - 19,52231,19835,3817
24 - 19,56328,22379,3877
25 - 19,59464,24248,3905
26 - 19,61334,25300,3896
27 - 19,62817,25945,3892
28 - 19,62855,26124,3832
29 - 19,63207,26084,3758
30 - 19,64250,26231,3656
31 - 19,64000,25937,3531
32 - 19,64010,25669,3454
33 - 19,65675,25864,3434
34 - 19,67281,26044,3383
35 - 19,68356,26104,3321
36 - 19,69150,26376,3246
37 - 19,71046,26817,3156
38 - 19,71914,27207,3062
39 - 19,71555,27208,2947
40 - 19,70744,27044,2949
41 - 19,70471,26634,2924
42 - 19,70204,26270,2916
43 - 19,70670,26315,3001
44 - 19,69478,25846,3011
45 - 19,67024,24885,2971
46 - 19,64744,24177,3016
47 - 19,62907,23667,3066
48 - 19,60716,22921,3115
49 - 19,59597,22429,3152
50 - 19,58191,21817,3179
51 - 19,56532,21044,3178
52 - 19,,,
01 - 20,,,
