Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 07-02-2017,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
01-01-2015,00 - 01,27.48,27.38,27.38,27.38,27.38,27.38,25.02,27.38,27.4,27.4,27.4,28.16,28.16,28.16,27.38,30.03,30.03,
01-01-2015,01 - 02,26.68,23.37,23.37,23.37,23.37,23.37,18.29,18.29,27.07,27.07,27.07,28.05,28.05,28.05,23.37,29.59,29.59,
01-01-2015,02 - 03,26.23,19.33,19.33,19.33,19.33,19.33,16.04,16.04,26.93,26.93,26.93,27.98,27.98,27.98,19.33,29.56,29.56,
01-01-2015,03 - 04,25.95,17.66,17.66,17.66,17.66,17.66,14.6,14.6,26.83,26.83,26.83,27.94,27.94,27.94,17.66,29.5,29.5,
01-01-2015,04 - 05,25.91,17.53,17.53,17.53,17.53,17.53,14.95,14.95,26.81,26.81,26.81,27.95,27.95,27.95,17.53,17.53,17.53,
01-01-2015,05 - 06,26.24,18.07,18.07,18.07,18.07,18.07,14.5,14.5,26.97,26.97,26.97,28.07,28.07,28.07,18.07,30.52,30.52,
01-01-2015,06 - 07,26.81,25.23,25.23,25.23,25.23,25.23,10.76,10.76,27.07,27.07,27.07,28.39,28.39,28.39,25.23,30.51,30.51,
01-01-2015,07 - 08,26.82,26.8,26.8,26.8,26.8,26.8,12.01,12.01,26.8,26.8,26.8,28.48,28.48,28.48,26.8,30.52,30.52,
01-01-2015,08 - 09,26.96,26.97,26.97,26.97,26.97,26.97,12.39,12.39,26.97,26.97,26.97,28.47,28.47,28.47,26.97,30.53,30.53,
01-01-2015,09 - 10,26.74,26.29,26.29,26.29,26.29,26.29,14.04,14.04,26.98,26.98,26.98,28.49,28.49,28.49,26.29,26.29,26.29,
01-01-2015,10 - 11,26.75,26.06,26.06,26.06,26.06,26.06,14.68,14.68,27.06,27.06,27.06,28.5,28.5,28.5,26.06,26.06,26.06,
01-01-2015,11 - 12,26.77,25.56,25.56,25.56,25.56,25.56,16.08,16.08,27.13,27.13,27.13,28.53,28.53,28.53,25.56,25.56,25.56,
01-01-2015,12 - 13,26.79,25.91,25.91,25.91,25.91,25.91,16.08,16.08,27.09,27.09,27.09,28.57,28.57,28.57,25.91,25.91,25.91,
01-01-2015,13 - 14,26.59,25.42,25.42,25.42,25.42,25.42,16.05,25.42,27.01,27.01,27.01,28.6,28.6,28.6,25.42,25.42,25.42,
01-01-2015,14 - 15,27.01,26.78,26.78,26.78,26.78,26.78,16.04,26.78,26.98,26.98,26.98,28.65,28.65,28.65,26.78,45.01,45.01,
01-01-2015,15 - 16,27.62,27.51,27.51,27.51,27.51,27.51,16.1,27.51,27.51,27.51,27.51,28.7,28.7,28.7,27.51,45.08,45.08,
01-01-2015,16 - 17,28.29,28.32,28.32,28.32,28.32,28.32,23.93,28.32,28.32,28.32,28.32,28.58,28.58,28.58,28.32,46,46,
01-01-2015,17 - 18,28.34,28.36,28.36,28.36,28.36,28.36,26.9,28.36,28.36,28.36,28.36,28.55,28.55,28.55,28.36,46,46,
01-01-2015,18 - 19,28.22,28.18,28.18,28.18,28.18,28.18,26.36,28.18,28.18,28.18,28.18,28.52,28.52,28.52,28.18,46.01,46.01,
01-01-2015,19 - 20,27.91,27.81,27.81,27.81,27.81,27.81,23.98,27.81,27.81,27.81,27.81,28.51,28.51,28.51,27.81,46.02,46.02,
01-01-2015,20 - 21,27.54,27.46,27.46,27.46,27.46,27.46,16.09,16.09,27.46,27.46,27.46,28.63,28.63,28.63,27.46,45.08,45.08,
01-01-2015,21 - 22,27.13,27.06,27.06,27.06,27.06,27.06,14.08,14.08,27.06,27.06,27.06,28.78,28.78,28.78,27.06,31.57,31.57,
01-01-2015,22 - 23,26.92,26.4,26.4,26.4,26.4,26.4,12.44,12.44,27,27,27,28.66,28.66,28.66,26.4,28.05,28.05,
01-01-2015,23 - 00,25.96,18.36,18.36,18.36,18.36,18.36,0.04,0.04,26.83,26.83,26.83,28.49,28.49,28.49,18.36,28.07,28.07,
02-01-2015,00 - 01,24.79,17.78,17.78,17.78,17.78,17.78,−12.11,−12.11,26.71,26.71,26.71,28.16,28.16,28.16,17.78,28.1,28.1,
02-01-2015,01 - 02,22.23,9.62,9.62,9.62,9.62,9.62,−19.63,−19.63,26.41,26.41,26.41,28.22,28.22,28.22,9.62,9.62,9.62,
02-01-2015,02 - 03,20.93,7.67,7.67,7.67,7.67,7.67,−19.37,−19.37,26.2,26.2,26.2,28.15,28.15,28.15,7.67,7.67,7.67,
02-01-2015,03 - 04,18.57,10.83,10.83,10.83,10.83,10.83,−31.41,−31.41,25.6,25.6,25.6,28.19,28.19,28.19,10.83,10.83,10.83,
02-01-2015,04 - 05,18.59,23.14,23.14,23.14,23.14,23.14,−31.41,−31.41,24.74,24.74,24.74,28.24,28.24,28.24,23.14,23.14,23.14,
02-01-2015,05 - 06,24.55,26.1,26.1,26.1,26.1,26.1,−13.48,−13.48,26.1,26.1,26.1,28.45,28.45,28.45,26.1,26.1,26.1,
02-01-2015,06 - 07,27.1,27.25,27.25,27.25,27.25,27.25,0.08,0.08,27.25,27.25,27.25,28.85,28.85,28.85,27.25,28.48,28.48,
02-01-2015,07 - 08,28.34,28.37,28.37,28.37,28.37,28.37,10.06,28.37,28.37,28.37,28.37,28.97,28.97,28.97,28.37,28.37,28.37,
02-01-2015,08 - 09,28.4,28.37,28.37,28.37,28.37,28.37,14.25,28.37,28.37,28.37,28.37,29,29,29,28.37,28.37,28.37,
02-01-2015,09 - 10,28.38,28.32,28.32,28.32,28.32,28.32,14.56,28.32,28.32,28.32,28.32,29.14,29.14,29.14,28.32,28.32,28.32,
02-01-2015,10 - 11,28.34,28.3,28.3,28.3,28.3,28.3,14.64,28.3,28.3,28.3,28.3,29.21,29.21,29.21,28.3,39.99,39.99,
02-01-2015,11 - 12,28.4,28.39,28.39,28.39,28.39,28.39,15.08,28.39,28.39,28.39,28.39,29.08,29.08,29.08,28.39,28.39,28.39,
02-01-2015,12 - 13,28.32,28.3,28.3,28.3,28.3,28.3,15.41,28.3,28.3,28.3,28.3,28.99,28.99,28.99,28.3,28.3,28.3,
02-01-2015,13 - 14,28.22,28.24,28.24,28.24,28.24,28.7,14.52,28.24,28.24,28.24,28.24,28.95,28.95,28.95,28.7,28.7,28.7,
02-01-2015,14 - 15,28.16,28.12,28.12,28.12,28.12,29.14,14.7,28.12,28.12,28.12,28.12,29,29,29,29.14,29.14,29.14,
02-01-2015,15 - 16,28.34,28.23,28.23,28.23,28.23,29.59,14.66,28.23,28.23,28.23,28.23,29.15,29.15,29.15,29.59,29.59,29.59,
02-01-2015,16 - 17,28.67,28.59,28.59,28.59,28.59,29.44,16.09,28.59,28.59,28.59,28.59,29.13,29.13,29.13,29.44,29.44,29.44,
02-01-2015,17 - 18,28.75,28.73,28.73,28.73,28.73,29.43,25.1,28.73,28.73,28.73,28.73,29.04,29.04,29.04,29.43,29.43,29.43,
02-01-2015,18 - 19,28.55,28.48,28.48,28.48,28.48,28.48,25.06,28.48,28.48,28.48,28.48,28.94,28.94,28.94,28.48,28.48,28.48,
02-01-2015,19 - 20,28.44,28.38,28.38,28.38,28.38,28.38,18.34,28.38,28.38,28.38,28.38,28.89,28.89,28.89,28.38,28.38,28.38,
02-01-2015,20 - 21,27.94,27.85,27.85,27.85,27.85,27.85,14.26,15,27.85,27.85,27.85,28.96,28.96,28.96,27.85,27.85,27.85,
02-01-2015,21 - 22,27.51,27.45,27.45,27.45,27.45,27.45,12.22,12.22,27.45,27.45,27.45,28.88,28.88,28.88,27.45,27.45,27.45,
02-01-2015,22 - 23,27.2,27.2,27.2,27.2,27.2,27.2,8,10.4,27.2,27.2,27.2,28.82,28.82,28.82,27.2,28.06,28.06,
02-01-2015,23 - 00,26.09,25.94,25.94,25.94,25.94,25.94,−0.33,−0.33,26.79,26.79,26.79,28.65,28.65,28.65,25.94,28.01,28.01,
03-01-2015,00 - 01,24.61,17.57,17.57,17.57,17.57,17.57,−0.08,−0.08,25.85,25.85,25.85,28.13,28.13,28.13,17.57,17.57,17.57,
03-01-2015,01 - 02,24.11,16.87,16.87,16.87,16.87,16.87,−0.07,−0.07,25.54,25.54,25.54,28.03,28.03,28.03,16.87,16.87,16.87,
03-01-2015,02 - 03,23.31,5.75,5.75,5.75,5.75,5.75,−5.03,−5.03,25.43,25.43,25.43,27.92,27.92,27.92,5.75,5.75,5.75,
03-01-2015,03 - 04,23.33,05.09,05.09,05.09,05.09,05.09,0.01,0.01,25.34,25.34,25.34,27.9,27.9,27.9,05.09,05.09,05.09,
03-01-2015,04 - 05,23.44,7.64,7.64,7.64,7.64,7.64,−0.04,−0.04,25.29,25.29,25.29,27.85,27.85,27.85,7.64,7.64,7.64,
03-01-2015,05 - 06,24.28,23.85,23.85,23.85,23.85,23.85,0.03,0.03,25.3,25.3,25.3,27.82,27.82,27.82,23.85,23.85,23.85,
03-01-2015,06 - 07,24.4,22.92,22.92,22.92,22.92,22.92,−8.67,−8.67,25.55,25.55,25.55,27.94,27.94,27.94,22.92,22.92,22.92,
03-01-2015,07 - 08,26.36,26.75,26.75,26.75,26.75,26.75,4.46,4.46,26.75,26.75,26.75,27.89,27.89,27.89,26.75,40.01,40.01,
03-01-2015,08 - 09,26.65,26.98,26.98,26.98,26.98,26.98,9.9,9.9,26.98,26.98,26.98,27.93,27.93,27.93,26.98,26.98,26.98,
03-01-2015,09 - 10,27.5,27.52,27.52,27.52,27.52,27.52,14.29,14.29,27.52,27.52,27.52,28.27,28.27,28.27,27.52,27.52,27.52,
03-01-2015,10 - 11,27.72,27.72,27.72,27.72,27.72,27.72,16.73,16.73,27.72,27.72,27.72,28.37,28.37,28.37,27.72,40.02,40.02,
03-01-2015,11 - 12,27.77,27.73,27.73,27.73,27.73,27.73,22.31,22.31,27.73,27.73,27.73,28.4,28.4,28.4,27.73,40.03,40.03,
03-01-2015,12 - 13,27.72,27.66,27.66,27.66,27.66,27.66,23.03,23.03,27.66,27.66,27.66,28.44,28.44,28.44,27.66,40.03,40.03,
03-01-2015,13 - 14,27.71,27.65,27.65,27.65,27.65,27.65,22.4,22.4,27.65,27.65,27.65,28.47,28.47,28.47,27.65,39.98,39.98,
03-01-2015,14 - 15,27.87,27.81,27.81,27.81,27.81,27.81,27.07,27.81,27.81,27.81,27.81,28.48,28.48,28.48,27.81,27.81,27.81,
03-01-2015,15 - 16,28.4,28.37,28.37,28.37,28.37,30.21,28.29,28.37,28.37,28.29,28.37,28.49,28.49,28.49,30.21,40.03,40.03,
03-01-2015,16 - 17,28.97,29.23,29.23,29.23,29.23,31.09,28.6,29.23,28.6,28.6,28.6,29.23,29.23,29.23,31.09,40.04,40.04,
03-01-2015,17 - 18,29.4,29.53,29.53,29.53,29.53,31.07,28.88,29.53,28.88,28.88,28.88,29.53,29.53,29.53,31.07,31.07,31.07,
03-01-2015,18 - 19,29.46,29.75,29.75,29.75,29.75,30.65,28.78,29.75,28.78,28.78,28.78,29.75,29.75,29.75,30.65,30.65,30.65,
03-01-2015,19 - 20,28.98,29.46,29.46,29.46,29.46,29.46,28.54,29.46,28.54,28.54,28.54,29.46,29.46,29.46,29.46,40.01,40.01,
03-01-2015,20 - 21,28.4,28.69,28.69,28.69,28.69,28.69,28.34,28.69,28.34,28.34,28.34,28.69,28.69,28.69,28.69,28.69,28.69,
03-01-2015,21 - 22,27.96,27.93,27.93,27.93,27.93,27.93,27.26,27.93,27.93,27.93,27.93,28.4,28.4,28.4,27.93,31.52,31.52,
03-01-2015,22 - 23,27.76,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,28.33,28.33,28.33,27.7,28.02,28.02,
03-01-2015,23 - 00,27.22,27.25,27.25,27.25,27.25,27.25,14.27,14.27,27.25,27.25,27.25,28.22,28.22,28.22,27.25,27.25,27.25,
04-01-2015,00 - 01,27.42,27.55,27.55,27.55,27.55,27.55,9.32,9.32,27.55,27.55,27.55,28.1,28.1,28.1,27.55,27.55,27.55,
04-01-2015,01 - 02,27.08,27.38,27.38,27.38,27.38,27.38,0.1,0.1,27.38,27.38,27.38,28.04,28.04,28.04,27.38,27.38,27.38,
04-01-2015,02 - 03,26.81,27.17,27.17,27.17,27.17,27.17,0.1,0.1,27.17,27.17,27.17,27.93,27.93,27.93,27.17,27.17,27.17,
04-01-2015,03 - 04,26.57,27.03,27.03,27.03,27.03,27.03,0.1,0.1,27.03,27.03,27.03,27.91,27.91,27.91,27.03,27.03,27.03,
04-01-2015,04 - 05,26.64,27.04,27.04,27.04,27.04,27.04,0.11,0.11,27.04,27.04,27.04,27.91,27.91,27.91,27.04,27.04,27.04,
04-01-2015,05 - 06,27.02,27.19,27.19,27.19,27.19,27.19,6.8,6.8,27.19,27.19,27.19,27.95,27.95,27.95,27.19,27.19,27.19,
04-01-2015,06 - 07,27.09,27.13,27.13,27.13,27.13,27.13,14.95,14.95,27.13,27.13,27.13,28.05,28.05,28.05,27.13,27.13,27.13,
04-01-2015,07 - 08,27.16,27.06,27.06,27.06,27.06,27.06,25.49,25.49,27.06,27.06,27.06,28.13,28.13,28.13,27.06,27.06,27.06,
04-01-2015,08 - 09,27.64,27.63,27.63,27.63,27.63,27.63,26.28,27.63,27.63,27.63,27.63,28.02,28.02,28.02,27.63,27.63,27.63,
04-01-2015,09 - 10,28.03,28.03,28.03,28.03,28.03,28.03,27.32,28.03,28.03,28.03,28.03,28.17,28.17,28.17,28.03,28.03,28.03,
04-01-2015,10 - 11,28.22,28.24,28.24,28.24,28.24,28.24,27.56,28.24,28.24,28.24,28.24,28.27,28.27,28.27,28.24,28.24,28.24,
04-01-2015,11 - 12,28.28,28.32,28.32,28.32,28.32,28.32,27.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,28.32,
04-01-2015,12 - 13,28.23,28.24,28.24,28.24,28.24,28.24,27.08,28.24,28.24,28.24,28.24,28.32,28.32,28.32,28.24,28.24,28.24,
04-01-2015,13 - 14,28.25,28.27,28.27,28.27,28.27,28.27,26.33,28.27,28.27,28.27,28.27,28.35,28.35,28.35,28.27,28.27,28.27,
04-01-2015,14 - 15,28.33,28.32,28.32,28.32,28.32,28.32,27.42,28.32,28.32,28.32,28.32,28.4,28.4,28.4,28.32,28.32,28.32,
04-01-2015,15 - 16,28.66,28.7,28.7,28.7,28.7,31,28.37,28.7,28.69,28.37,28.69,28.7,28.7,28.7,31,31,31,
04-01-2015,16 - 17,29.28,29.58,29.58,29.58,29.58,31.1,28.65,29.58,28.86,28.65,28.86,29.58,29.58,29.58,31.1,31.1,31.1,
04-01-2015,17 - 18,29.68,29.92,29.92,29.92,29.92,31.04,28.94,29.92,28.98,28.98,28.98,29.92,29.92,29.92,40.01,40.01,40.01,
04-01-2015,18 - 19,29.86,29.91,29.91,29.91,29.91,31.08,29.59,29.91,29.54,29.54,29.54,29.91,29.91,29.91,40,40,40,
04-01-2015,19 - 20,29.71,29.77,29.77,29.77,29.77,30.91,29.42,29.77,29.42,29.42,29.42,29.77,29.77,29.77,30.91,30.91,30.91,
04-01-2015,20 - 21,29.22,29.45,29.45,29.45,29.45,29.45,28.92,29.45,28.92,28.92,28.92,29.45,29.45,29.45,29.66,29.66,29.66,
04-01-2015,21 - 22,28.88,29.06,29.06,29.06,29.06,29.78,28.66,29.06,28.66,28.66,28.66,29.06,29.06,29.06,29.78,29.78,29.78,
04-01-2015,22 - 23,28.82,29.03,29.03,29.03,29.03,29.03,29.03,29.03,28.69,28.69,28.69,29.03,29.03,29.03,29.03,29.03,29.03,
04-01-2015,23 - 00,28.05,28.02,28.02,28.02,28.02,28.02,27.68,27.68,28.02,28.02,28.02,28.34,28.34,28.34,28.02,28.02,28.02,
05-01-2015,00 - 01,28.54,29.06,29.06,29.06,29.06,29.06,28.19,29.06,28.19,28.19,28.19,29.06,29.06,29.06,29.06,29.06,29.06,
05-01-2015,01 - 02,28.43,28.88,28.88,28.88,28.88,28.88,28.15,28.88,28.15,28.15,28.15,28.88,28.88,28.88,28.88,28.88,28.88,
05-01-2015,02 - 03,28.41,28.87,28.87,28.87,28.87,28.87,28.13,28.87,28.13,28.13,28.13,28.87,28.87,28.87,28.87,28.87,28.87,
05-01-2015,03 - 04,28.37,28.97,28.97,28.97,28.97,28.97,28.05,28.05,28.05,28.05,28.05,28.97,28.97,28.97,28.97,28.97,28.97,
05-01-2015,04 - 05,28.5,29.34,29.34,29.34,29.34,29.34,28.04,29.34,28.04,28.04,28.04,29.34,29.34,29.34,29.34,29.34,29.34,
05-01-2015,05 - 06,29.32,30.33,30.33,30.33,30.33,35.96,27.01,30.33,28.46,28.46,28.46,30.33,30.33,30.33,35.96,45.06,45.06,
05-01-2015,06 - 07,30.48,31.39,31.39,31.39,31.39,38.91,27.6,31.39,28.78,28.78,28.78,31.39,31.39,31.39,38.91,45.1,45.1,
05-01-2015,07 - 08,32.96,32.84,32.84,32.84,32.84,45.02,33.62,32.84,30.99,30.99,30.99,32.84,32.84,32.84,45.02,45.06,45.06,
05-01-2015,08 - 09,38.45,35.77,35.77,38.15,38.15,45.04,38.15,38.15,38.15,38.15,32.95,35.77,35.77,35.77,45.04,45.04,45.04,
05-01-2015,09 - 10,40.19,35.87,35.87,41.51,41.51,45.04,41.51,41.51,41.51,41.51,33.27,35.87,35.87,35.87,45.04,45.04,45.04,
05-01-2015,10 - 11,39.61,35.56,35.56,40.46,40.46,45.02,40.46,40.46,40.46,40.46,33.32,35.56,35.56,35.56,45.02,45.02,45.02,
05-01-2015,11 - 12,39.64,35,35,40.97,40.97,45.03,40.97,40.97,40.97,40.97,33.41,35,35,35,45.03,45.03,45.03,
05-01-2015,12 - 13,39.21,34.64,34.64,40.72,40.72,45.05,40.72,40.72,38.66,38.66,33.29,34.64,34.64,34.64,45.05,45.05,45.05,
05-01-2015,13 - 14,39.72,34.76,34.76,41.92,41.92,45.05,41.92,41.92,36.44,36.44,33.02,34.76,34.76,34.76,45.05,45.05,45.05,
05-01-2015,14 - 15,40.72,35.1,35.1,42,42,45.1,42,42,37.74,37.74,32.96,35.1,35.1,35.1,45.1,45.1,45.1,
05-01-2015,15 - 16,42.11,35.83,35.83,43.1,43.1,46.03,43.1,43.1,43.1,43.1,33.08,35.83,35.83,35.83,46.03,46.03,46.03,
05-01-2015,16 - 17,46.05,35.94,35.94,46.7,46.7,46.7,46.7,46.7,46.7,46.7,33.98,35.94,35.94,35.94,46.7,46.7,46.7,
05-01-2015,17 - 18,48.72,35.37,35.37,56.78,56.78,56.78,56.78,56.78,56.78,56.78,33.67,35.37,35.37,35.37,56.78,56.78,56.78,
05-01-2015,18 - 19,48.75,34.78,34.78,58.84,58.84,58.84,58.84,58.84,36.49,36.49,33.02,34.78,34.78,34.78,58.04,58.04,58.04,
05-01-2015,19 - 20,46.02,34.2,34.2,49.23,49.23,49.23,49.23,49.23,32.43,32.43,32.43,34.2,34.2,34.2,50.04,50.04,50.04,
05-01-2015,20 - 21,37.17,34,34,44.32,44.32,44.32,44.32,44.32,31.39,31.39,31.39,34,34,34,44.32,46.01,46.01,
05-01-2015,21 - 22,34.35,34.12,34.12,35.86,35.86,45.09,35.86,35.86,30.29,30.29,30.29,34.12,34.12,34.12,45.09,45.09,45.09,
05-01-2015,22 - 23,31.83,32.56,32.56,32.56,32.56,32.56,32.56,32.56,29.43,29.43,29.43,32.56,32.56,32.56,32.56,32.56,32.56,
05-01-2015,23 - 00,29.73,30.03,30.03,30.03,30.03,30.03,30.03,30.03,29.09,29.09,29.09,30.03,30.03,30.03,30.03,30.03,30.03,
06-01-2015,00 - 01,29.59,30.02,30.02,30.02,30.02,30.02,30.02,30.02,28.08,28.08,28.08,30.02,30.02,30.02,30.02,30.02,30.02,
06-01-2015,01 - 02,29.28,29.81,29.81,29.81,29.81,29.81,29.81,29.81,27.94,27.94,27.94,29.81,29.81,29.81,29.81,29.81,29.81,
06-01-2015,02 - 03,28.84,29.41,29.41,29.41,29.41,29.41,29.41,29.41,27.91,27.91,27.91,29.41,29.41,29.41,29.41,29.41,29.41,
06-01-2015,03 - 04,28.55,29.11,29.11,29.11,29.11,29.11,27.89,29.11,27.89,27.89,27.89,29.11,29.11,29.11,29.11,29.11,29.11,
06-01-2015,04 - 05,28.61,29.5,29.5,29.5,29.5,29.5,27.89,29.5,27.89,27.89,27.89,29.5,29.5,29.5,29.5,29.5,29.5,
06-01-2015,05 - 06,29.11,29.64,29.64,29.64,29.64,29.64,28.01,29.64,28.01,28.01,28.01,29.64,29.64,29.64,29.64,44,44,
06-01-2015,06 - 07,29.47,29.67,29.67,29.67,29.67,29.67,29.67,29.67,28.73,28.73,28.73,29.67,29.67,29.67,29.67,45.2,45.2,
06-01-2015,07 - 08,30.18,30.03,30.03,30.03,30.03,30.75,30.03,30.03,30.03,30.03,30.03,30.03,30.03,30.03,30.75,44.03,44.03,
06-01-2015,08 - 09,30.7,30.5,30.5,30.5,30.5,31.08,30.5,40.76,30.5,30.5,30.5,30.5,30.5,30.5,31.08,44.04,44.04,
06-01-2015,09 - 10,30.52,30.35,30.35,30.35,30.35,32.19,30.35,30.35,30.35,30.35,30.35,30.35,30.35,30.35,32.19,43.1,43.1,
06-01-2015,10 - 11,30.74,30.53,30.53,30.53,30.53,33.38,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,33.38,43.09,43.09,
06-01-2015,11 - 12,30.55,30.47,30.47,30.47,30.47,33.88,29.91,30.47,29.91,29.91,29.91,30.47,30.47,30.47,33.88,43.09,43.09,
06-01-2015,12 - 13,30.07,30.06,30.06,30.06,30.06,32.27,29.62,30.06,29.62,29.62,29.62,30.06,30.06,30.06,32.27,43.1,43.1,
06-01-2015,13 - 14,29.97,29.98,29.98,29.98,29.98,31.11,29.58,29.98,29.58,29.58,29.58,29.98,29.98,29.98,31.11,45.21,45.21,
06-01-2015,14 - 15,30.03,29.99,29.99,29.99,29.99,33.64,29.57,29.99,29.57,29.57,29.57,29.99,29.99,29.99,33.64,44.08,44.08,
06-01-2015,15 - 16,30.57,30.48,30.48,30.48,30.48,37.79,29.62,30.48,29.62,29.62,29.62,30.48,30.48,30.48,37.79,45.2,45.2,
06-01-2015,16 - 17,30.95,30.83,30.83,30.83,30.83,39.5,29.99,30.83,29.99,29.99,29.99,30.83,30.83,30.83,39.5,43.07,43.07,
06-01-2015,17 - 18,30.94,31.04,31.04,31.04,31.04,38.95,29.65,31.04,29.65,29.65,29.65,31.04,31.04,31.04,38.95,43.02,43.02,
06-01-2015,18 - 19,30.57,30.52,30.52,30.52,30.52,37.71,29.58,30.52,29.58,29.58,29.58,30.52,30.52,30.52,37.71,37.71,37.71,
06-01-2015,19 - 20,29.95,29.99,29.99,29.99,29.99,34.94,29,29.99,29,29,29,29.99,29.99,29.99,34.94,34.94,34.94,
06-01-2015,20 - 21,29.57,29.61,29.61,29.61,29.61,33.15,28.45,29.61,28.45,28.45,28.45,29.61,29.61,29.61,33.15,43.05,43.05,
06-01-2015,21 - 22,29.15,29.15,29.15,29.15,29.15,32.92,28.15,29.15,28.15,28.15,28.15,29.15,29.15,29.15,32.92,32.92,32.92,
06-01-2015,22 - 23,28,28.11,28.11,28.11,28.11,30.36,28.08,28.11,27.73,27.73,27.73,28.11,28.11,28.11,30.36,30.36,30.36,
06-01-2015,23 - 00,27.34,27.32,27.32,27.32,27.32,28.08,26.97,27.32,27.32,27.32,27.32,27.32,27.32,27.32,28.08,28.08,28.08,
07-01-2015,00 - 01,26.38,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.35,26.65,26.65,26.65,26.35,29.53,29.53,
07-01-2015,01 - 02,26.15,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.53,26.53,26.53,26.08,28.1,28.1,
07-01-2015,02 - 03,26.09,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.03,26.47,26.47,26.47,26.03,29,29,
07-01-2015,03 - 04,26.21,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.17,26.48,26.48,26.48,26.17,29,29,
07-01-2015,04 - 05,26.7,26.74,26.74,26.74,26.74,26.74,26.1,26.74,26.74,26.74,26.74,26.74,26.74,26.74,26.74,29.03,29.03,
07-01-2015,05 - 06,27.99,28.11,28.11,28.11,28.11,29.81,26.84,28.11,27.78,27.78,27.78,28.11,28.11,28.11,29.81,45.08,45.08,
07-01-2015,06 - 07,30.07,30.27,30.27,30.27,30.27,34.96,30.07,30.27,28.48,28.48,28.48,30.27,30.27,30.27,34.96,45.21,45.21,
07-01-2015,07 - 08,33.25,33.17,33.17,33.17,33.17,40.27,33.17,33.17,31.53,31.53,31.53,33.17,33.17,33.17,40.27,45.1,45.1,
07-01-2015,08 - 09,34.07,33.59,33.59,34.1,34.1,39.31,34.1,34.1,32.54,32.54,32.54,33.59,33.59,33.59,39.31,45.09,45.09,
07-01-2015,09 - 10,33.22,33.28,33.28,33.28,33.28,35.07,33.28,33.28,32.24,32.24,32.24,33.28,33.28,33.28,35.07,45.05,45.05,
07-01-2015,10 - 11,33.6,33.86,33.86,34.08,34.08,34.08,34.08,34.08,31.96,31.96,31.96,33.86,33.86,33.86,34.08,45.04,45.04,
07-01-2015,11 - 12,33.35,33.63,33.63,33.63,33.63,33.91,33.63,33.63,31.66,31.66,31.66,33.63,33.63,33.63,33.91,45.03,45.03,
07-01-2015,12 - 13,32.73,33.11,33.11,33.11,33.11,34.14,32.76,33.11,30.97,30.97,30.97,33.11,33.11,33.11,34.14,45.05,45.05,
07-01-2015,13 - 14,32.53,33.2,33.2,33.2,33.2,33.79,30.65,33.2,30.65,30.65,30.65,33.2,33.2,33.2,33.79,45.05,45.05,
07-01-2015,14 - 15,32.68,33.61,33.61,33.61,33.61,37.27,30.31,33.61,30.31,30.31,30.31,33.61,33.61,33.61,37.27,45.06,45.06,
07-01-2015,15 - 16,33.11,35.96,35.96,37.43,37.43,37.43,29.79,37.43,29.79,29.79,29.79,35.96,35.96,35.96,37.43,45.05,45.05,
07-01-2015,16 - 17,34.3,35.99,35.99,40.71,40.71,40.71,30.72,40.71,30.72,30.72,30.72,35.99,35.99,35.99,40.71,40.71,40.71,
07-01-2015,17 - 18,34.03,35.56,35.56,41.11,49.85,41.11,29.56,49.85,29.56,29.56,29.56,35.56,35.56,35.56,41.11,41.11,41.11,
07-01-2015,18 - 19,32.54,35.48,35.48,35.48,38.06,35.48,28.84,38.06,28.84,28.84,28.84,35.48,35.48,35.48,35.48,35.48,35.48,
07-01-2015,19 - 20,31.03,33.19,33.19,33.19,33.19,33.19,28.2,33.19,28.2,28.2,28.2,33.19,33.19,33.19,33.19,33.19,33.19,
07-01-2015,20 - 21,29.64,31.12,31.12,31.12,31.12,31.12,27.75,31.12,27.75,27.75,27.75,31.12,31.12,31.12,31.12,45.01,45.01,
07-01-2015,21 - 22,28.89,29.84,29.84,29.84,29.84,30.22,27.42,29.84,27.42,27.42,27.42,29.84,29.84,29.84,30.22,30.22,30.22,
07-01-2015,22 - 23,27.69,28.72,28.72,28.72,28.72,29.46,26.7,28.72,26.68,26.68,26.68,28.72,28.72,28.72,29.46,29.46,29.46,
07-01-2015,23 - 00,26.87,27.47,27.47,27.47,27.47,27.47,22.11,27.47,26.15,26.15,26.15,27.47,27.47,27.47,27.47,28.09,28.09,
08-01-2015,00 - 01,26.24,26.51,26.51,26.51,26.51,26.51,21.92,26.51,26.04,26.04,26.04,26.78,26.78,26.78,26.51,29.52,29.52,
