Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 12-11-2015,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
01-01-2014,00 - 01,"28,53","28,67","28,67","28,67","28,67","28,67","15,15","15,15","29,07","29,07","29,07","28,67","28,67","28,67","28,67","32,06","32,06"
01-01-2014,01 - 02,"28,01","28,08","28,08","28,08","28,08","28,08","12,96","12,96","28,81","28,81","28,81","28,08","28,08","28,08","28,08","32,02","32,02"
01-01-2014,02 - 03,"27,16","27,38","27,38","27,38","27,38","27,38","12,09","12,09","28,42","28,42","28,42","27,38","27,38","27,38","27,38","27,38","27,38"
01-01-2014,03 - 04,"26,05","26,21","26,21","26,21","26,21","26,21","11,7","11,7","27,63","27,63","27,63","26,21","26,21","26,21","26,21","26,21","26,21"
01-01-2014,04 - 05,"25,16","25,98","25,98","25,98","25,98","25,98","11,66","11,66","25,98","25,98","25,98","25,98","25,98","25,98","25,98","25,98","25,98"
01-01-2014,05 - 06,"25,58","26,38","26,38","26,38","26,38","26,38","11,35","11,35","26,38","26,38","26,38","26,38","26,38","26,38","26,38","26,38","26,38"
01-01-2014,06 - 07,"26,13","26,76","26,76","26,76","26,76","26,76","9,85","9,85","26,76","26,76","26,76","26,76","26,76","26,76","26,76","26,76","26,76"
01-01-2014,07 - 08,"26,62","27,14","27,14","27,14","27,14","27,14","20,51","20,51","27,14","27,14","27,14","27,14","27,14","27,14","27,14","27,14","27,14"
01-01-2014,08 - 09,"26,67","26,97","26,97","26,97","26,97","26,97","25,4","26,97","26,97","26,97","26,97","26,97","26,97","26,97","26,97","26,97","26,97"
01-01-2014,09 - 10,"26,4","26,54","26,54","26,54","26,54","26,54","25,45","26,54","26,54","26,54","26,54","26,54","26,54","26,54","27,83","35,05","35,05"
01-01-2014,10 - 11,"27,55","27,59","27,59","27,59","27,59","27,59","24,63","27,59","27,59","27,59","27,59","27,59","27,59","27,59","30,68","35,06","35,06"
01-01-2014,11 - 12,"28,47","28,43","28,43","28,43","28,43","28,43","26,76","28,43","28,43","28,43","28,43","28,43","28,43","28,43","32,09","35,07","35,07"
01-01-2014,12 - 13,"28,66","28,68","28,68","28,68","28,68","28,68","26,87","28,68","28,68","28,68","28,68","28,68","28,68","28,68","32,75","35,07","35,07"
01-01-2014,13 - 14,"28,83","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","28,82","33,27","35,06","35,06"
01-01-2014,14 - 15,"29,07","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","29,06","34,44","35,06","35,06"
01-01-2014,15 - 16,"29,4","29,39","29,39","29,39","29,39","29,51","27,88","29,39","29,39","29,39","29,39","29,39","29,39","29,39","35,1","35,1","35,1"
01-01-2014,16 - 17,"31,48","31,39","31,39","31,39","31,39","32,38","32,11","31,39","31,39","31,39","31,39","31,39","31,39","31,39","35,49","35,49","35,49"
01-01-2014,17 - 18,"32,15","32,09","32,09","32,09","32,09","33,26","32,88","32,88","32,09","32,09","32,09","32,09","32,09","32,09","35,1","35,1","35,1"
01-01-2014,18 - 19,"31,71","31,62","31,62","31,62","31,62","33,97","32,22","32,22","31,62","31,62","31,62","31,62","31,62","31,62","35,09","35,09","35,09"
01-01-2014,19 - 20,"30,64","30,63","30,63","30,63","30,63","31,16","30,63","30,63","30,63","30,63","30,63","30,63","30,63","30,63","35,01","36,01","36,01"
01-01-2014,20 - 21,"29,31","29,34","29,34","29,34","29,34","29,34","28,64","29,34","29,34","29,34","29,34","29,34","29,34","29,34","34,21","35,04","35,04"
01-01-2014,21 - 22,29,"29,19","29,19","29,19","29,19","30,37","20,09","29,19","29,19","29,19","29,19","29,19","29,19","29,19","32,47","33,01","33,01"
01-01-2014,22 - 23,"28,41","28,72","28,72","28,72","28,72","28,72","15,1","28,72","28,72","28,72","28,72","28,72","28,72","28,72","28,72","28,72","28,72"
01-01-2014,23 - 00,"27,05","27,84","27,84","27,84","27,84","27,84","12,95","15,9","27,84","27,84","27,84","27,84","27,84","27,84","27,84","32,05","32,05"
02-01-2014,00 - 01,"27,2","27,9","27,9","27,9","27,9","27,9","7,66","7,66","27,9","27,9","27,9","27,9","27,9","27,9","27,9","33,01","33,01"
02-01-2014,01 - 02,"26,06","26,94","26,94","26,94","26,94","26,94","7,02","7,02","26,94","26,94","26,94","26,94","26,94","26,94","26,94","29,1","29,1"
02-01-2014,02 - 03,"25,38","26,37","26,37","26,37","26,37","26,37","1,92","1,92","26,37","26,37","26,37","26,37","26,37","26,37","26,37","29,08","29,08"
02-01-2014,03 - 04,"25,02","26,56","26,56","26,56","26,56","26,56","−0,05","−0,05","26,56","26,56","26,56","26,56","26,56","26,56","26,56","29,09","29,09"
02-01-2014,04 - 05,"25,78","27,15","27,15","27,15","27,15","27,15","0,06","0,06","27,15","27,15","27,15","27,15","27,15","27,15","27,15","36,01","36,01"
02-01-2014,05 - 06,28,"28,41","28,41","28,41","28,41","29,08","7,06","7,06","28,41","28,41","28,41","28,41","28,41","28,41","29,08","29,08","29,08"
02-01-2014,06 - 07,"29,23","29,33","29,33","29,33","29,33","39,48","11,8","29,33","29,33","29,33","29,33","29,33","29,33","29,33","39,48","39,48","39,48"
02-01-2014,07 - 08,"29,96","29,86","29,86","29,86","29,86","39,25","21,31","29,86","29,86","29,86","29,86","29,86","29,86","29,86","39,25","41,37","41,37"
02-01-2014,08 - 09,"30,6","30,44","30,44","30,44","30,44","36,5","30,44","30,44","30,44","30,44","30,44","30,44","30,44","30,44","36,5","39,87","39,87"
02-01-2014,09 - 10,"30,76","30,63","30,63","30,63","30,63","35,3","30,63","30,63","30,63","30,63","30,63","30,63","30,63","30,63","35,3","40,88","40,88"
02-01-2014,10 - 11,"30,99","30,86","30,86","30,86","30,86","34,62","30,86","30,86","30,86","30,86","30,86","30,86","30,86","30,86","34,62","40,35","40,35"
02-01-2014,11 - 12,"31,24","31,04","31,04","31,04","31,04","35,28","31,04","31,04","31,04","31,04","31,04","31,04","31,04","31,04","35,28","39,72","39,72"
02-01-2014,12 - 13,"31,12","30,97","30,97","30,97","30,97","35,13","30,97","30,97","30,97","30,97","30,97","30,97","30,97","30,97","35,13","40,17","40,17"
02-01-2014,13 - 14,"31,26","31,04","31,04","31,04","31,04","35,8","31,04","31,04","31,04","31,04","31,04","31,04","31,04","31,04","35,8","39,95","39,95"
02-01-2014,14 - 15,"31,44","31,11","31,11","31,11","31,11","40,08","31,11","31,11","31,11","31,11","31,11","31,11","31,11","31,11","40,08","40,08","40,08"
02-01-2014,15 - 16,"31,77","31,41","31,41","31,41","31,41",45,"31,41","31,41","31,41","31,41","31,41","31,41","31,41","31,41",45,45,45
02-01-2014,16 - 17,"32,45","31,98","31,98","31,98","31,98","44,59","31,98","31,98","31,98","31,98","31,98","31,98","31,98","31,98","44,59","44,59","44,59"
02-01-2014,17 - 18,"32,72","32,27","32,27","32,27","32,27","42,37","32,27","32,27","32,27","32,27","32,27","32,27","32,27","32,27","42,37","42,37","42,37"
02-01-2014,18 - 19,"32,35","31,92","31,92","31,92","31,92","41,9","31,92","31,92","31,92","31,92","31,92","31,92","31,92","31,92","41,9","41,9","41,9"
02-01-2014,19 - 20,"31,82","31,45","31,45","31,45","31,45","42,79","31,45","31,45","31,45","31,45","31,45","31,45","31,45","31,45","42,79","42,79","42,79"
02-01-2014,20 - 21,"31,02","30,94","30,94","30,94","30,94","33,08","30,94","30,94","30,94","30,94","30,94","30,94","30,94","30,94","33,08","33,08","33,08"
02-01-2014,21 - 22,"30,86","30,78","30,78","30,78","30,78","33,05","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","33,05","33,05","33,05"
02-01-2014,22 - 23,"30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42","30,42"
02-01-2014,23 - 00,"29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91","29,91"
03-01-2014,00 - 01,"28,2","28,08","28,08","28,08","28,08","28,08","27,4","28,08","28,53","28,53","28,53","28,08","28,08","28,08","28,08","33,05","33,05"
03-01-2014,01 - 02,"26,24","26,24","26,24","26,24","26,24","26,24","25,61","25,61","26,69","26,69","26,69","26,24","26,24","26,24","26,24","33,05","33,05"
03-01-2014,02 - 03,"24,82","24,78","24,78","24,78","24,78","24,78","19,02","19,02","25,51","25,51","25,51","24,78","24,78","24,78","24,78","33,04","33,04"
03-01-2014,03 - 04,"24,71","25,14","25,14","25,14","25,14","25,14","13,15","13,15","25,14","25,14","25,14","25,14","25,14","25,14","25,14","33,06","33,06"
03-01-2014,04 - 05,"25,42","26,04","26,04","26,04","26,04","26,04","16,01","16,01","26,04","26,04","26,04","26,04","26,04","26,04","26,04","40,51","40,51"
03-01-2014,05 - 06,"27,38","27,77","27,77","27,77","27,77","27,77","25,83","27,77","27,77","27,77","27,77","27,77","27,77","27,77","27,77","40,55","40,55"
03-01-2014,06 - 07,"29,28","29,14","29,14","29,14","29,14","35,01","28,27","29,14","29,14","29,14","29,14","29,14","29,14","29,14","35,01","36,48","36,48"
03-01-2014,07 - 08,"30,95","30,78","30,78","30,78","30,78","40,2","31,66","30,78","30,78","30,78","30,78","30,78","30,78","30,78","40,2","40,51","40,51"
03-01-2014,08 - 09,"31,44","31,19","31,19","31,19","31,19","43,47","31,19","31,19","31,19","31,19","31,19","31,19","31,19","31,19","43,47","45,91","45,91"
03-01-2014,09 - 10,"31,38","31,18","31,18","31,18","31,18","40,96","31,18","31,18","31,18","31,18","31,18","31,18","31,18","31,18","40,96","47,26","47,26"
03-01-2014,10 - 11,"31,06","30,95","30,95","30,95","30,95","39,12","30,95","30,95","30,95","30,95","30,95","30,95","30,95","30,95","39,12","40,26","40,26"
03-01-2014,11 - 12,"30,99","30,91","30,91","30,91","30,91","38,8","30,91","30,91","30,91","30,91","30,91","30,91","30,91","30,91","38,8","40,52","40,52"
03-01-2014,12 - 13,"30,86","30,74","30,74","30,74","30,74","38,55","30,74","30,74","30,74","30,74","30,74","30,74","30,74","30,74","38,55","40,54","40,54"
03-01-2014,13 - 14,"30,75","30,63","30,63","30,63","30,63","37,95","30,63","30,63","30,63","30,63","30,63","30,63","30,63","30,63","37,95","40,54","40,54"
03-01-2014,14 - 15,"30,65","30,46","30,46","30,46","30,46","43,41","30,46","30,46","30,46","30,46","30,46","30,46","30,46","30,46","43,41","47,29","47,29"
03-01-2014,15 - 16,"30,71","30,43","30,43","30,43","30,43","50,23","30,43","30,43","30,43","30,43","30,43","30,43","30,43","30,43","50,23","50,23","50,23"
03-01-2014,16 - 17,"31,01","30,84","30,84","30,84","30,84","48,77","30,84","30,84","30,84","30,84","30,84","30,84","30,84","30,84","48,77","48,77","48,77"
03-01-2014,17 - 18,"31,35","31,02","31,02","31,02","31,02","48,07","31,02","31,02","31,02","31,02","31,02","31,02","31,02","31,02","48,07","48,07","48,07"
03-01-2014,18 - 19,"30,94","30,78","30,78","30,78","30,78","44,43","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","44,43","48,01","48,01"
03-01-2014,19 - 20,"30,46","30,33","30,33","30,33","30,33","36,92","30,33","30,33","30,33","30,33","30,33","30,33","30,33","30,33","36,92","47,29","47,29"
03-01-2014,20 - 21,"29,72","29,66","29,66","29,66","29,66","33,41","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","33,41","47,24","47,24"
03-01-2014,21 - 22,"28,76","28,72","28,72","28,72","28,72","34,39","26,32","28,72","28,72","28,72","28,72","28,72","28,72","28,72","34,39","36,02","36,02"
03-01-2014,22 - 23,"28,49","28,63","28,63","28,63","28,63","30,38","26,1","26,1","28,63","28,63","28,63","28,63","28,63","28,63","30,38","33,07","33,07"
03-01-2014,23 - 00,"27,56","27,66","27,66","27,66","27,66","27,66","11,67","11,67","28,55","28,55","28,55","27,66","27,66","27,66","27,66","33,04","33,04"
04-01-2014,00 - 01,"26,52","26,67","26,67","26,67","26,67","26,67","10,07","10,07","27,32","27,32","27,32","26,67","26,67","26,67","26,67","33,01","33,01"
04-01-2014,01 - 02,"25,26","25,34","25,34","25,34","25,34","25,34","9,84","9,84","26,23","26,23","26,23","25,34","25,34","25,34","25,34","30,09","30,09"
04-01-2014,02 - 03,"24,61","23,95","23,95","23,95","23,95","23,95","7,93","7,93","25,62","25,62","25,62","23,95","23,95","23,95","23,95","30,07","30,07"
04-01-2014,03 - 04,"23,86","23,45","23,45","23,45","23,45","23,45","5,23","5,23","24,99","24,99","24,99","23,45","23,45","23,45","23,45","30,08","30,08"
04-01-2014,04 - 05,"24,28","24,25","24,25","24,25","24,25","24,25","5,18","5,18","25,1","25,1","25,1","24,25","24,25","24,25","24,25","30,05","30,05"
04-01-2014,05 - 06,"25,09","25,63","25,63","25,63","25,63","25,63","8,96","8,96","25,94","25,94","25,94","25,63","25,63","25,63","25,63","33,48","33,48"
04-01-2014,06 - 07,"26,18","26,69","26,69","26,69","26,69","26,69","8,72","8,72","26,69","26,69","26,69","26,69","26,69","26,69","26,69","33,22","33,22"
04-01-2014,07 - 08,"27,28","27,57","27,57","27,57","27,57","27,58","17,98","17,98","27,57","27,57","27,57","27,57","27,57","27,57","27,58","30,1","30,1"
04-01-2014,08 - 09,"27,8","27,85","27,85","27,85","27,85","30,34","27,11","27,85","27,85","27,85","27,85","27,85","27,85","27,85","30,34","40,51","40,51"
04-01-2014,09 - 10,"28,68","28,71","28,71","28,71","28,71","30,31","28,71","28,71","28,71","28,71","28,71","28,71","28,71","28,71","31,26","40,57","40,57"
