Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 12-11-2015,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
04-01-2014,10 - 11,"28,9","28,91","28,91","28,91","28,91","30,31","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","31,78","40,6","40,6"
04-01-2014,11 - 12,"29,08","29,07","29,07","29,07","29,07","30,35","29,07","29,07","29,07","29,07","29,07","29,07","29,07","29,07","31,84",46,46
04-01-2014,12 - 13,"29,22","29,2","29,2","29,2","29,2","30,38","29,2","29,2","29,2","29,2","29,2","29,2","29,2","29,2","31,94","45,97","45,97"
04-01-2014,13 - 14,"29,26","29,2","29,2","29,2","29,2","32,37","29,2","29,2","29,2","29,2","29,2","29,2","29,2","29,2","32,37","45,94","45,94"
04-01-2014,14 - 15,"29,47","29,35","29,35","29,35","29,35","34,35","29,35","29,35","29,35","29,35","29,35","29,35","29,35","29,35","34,35","47,21","47,21"
04-01-2014,15 - 16,"29,91","29,68","29,68","29,68","29,68","36,93","29,68","29,68","29,68","29,68","29,68","29,68","29,68","29,68","36,93","47,29","47,29"
04-01-2014,16 - 17,"30,59","30,31","30,31","30,31","30,31","45,49","30,31","30,31","30,31","30,31","30,31","30,31","30,31","30,31","45,49",51,51
04-01-2014,17 - 18,"30,97","30,66","30,66","30,66","30,66","45,83","30,66","30,66","30,66","30,66","30,66","30,66","30,66","30,66","45,83","50,63","50,63"
04-01-2014,18 - 19,"30,69","30,45","30,45","30,45","30,45","38,04","30,45","30,45","30,45","30,45","30,45","30,45","30,45","30,45","38,04","48,38","48,38"
04-01-2014,19 - 20,"30,1","29,93","29,93","29,93","29,93","34,58","29,93","29,93","29,93","29,93","29,93","29,93","29,93","29,93","34,58","47,24","47,24"
04-01-2014,20 - 21,"28,87","28,81","28,81","28,81","28,81","32,25","28,81","28,81","28,81","28,81","28,81","28,81","28,81","28,81","32,25","40,6","40,6"
04-01-2014,21 - 22,"28,7","28,56","28,56","28,56","28,56","34,55","28,56","28,56","28,56","28,56","28,56","28,56","28,56","28,56","34,55",36,36
04-01-2014,22 - 23,"28,42","28,31","28,31","28,31","28,31","32,19","28,31","28,31","28,31","28,31","28,31","28,31","28,31","28,31","32,19","33,04","33,04"
04-01-2014,23 - 00,"27,4","27,6","27,6","27,6","27,6","27,6","22,24","22,24","27,6","27,6","27,6","27,6","27,6","27,6","27,6","33,01","33,01"
05-01-2014,00 - 01,"27,66","27,82","27,82","27,82","27,82","27,82","19,92","19,92","27,82","27,82","27,82","27,82","27,82","27,82","27,82","33,02","33,02"
05-01-2014,01 - 02,"26,92","27,21","27,21","27,21","27,21","27,21","14,73","14,73","27,21","27,21","27,21","27,21","27,21","27,21","27,21",33,33
05-01-2014,02 - 03,"26,67","26,95","26,95","26,95","26,95","26,95","13,35","13,35","26,95","26,95","26,95","26,95","26,95","26,95","26,95","30,09","30,09"
05-01-2014,03 - 04,"26,41","26,62","26,62","26,62","26,62","26,62","10,96","10,96","26,62","26,62","26,62","26,62","26,62","26,62","26,62","30,07","30,07"
05-01-2014,04 - 05,"26,67","26,73","26,73","26,73","26,73","26,73","25,37","25,37","26,73","26,73","26,73","26,73","26,73","26,73","26,73","30,07","30,07"
05-01-2014,05 - 06,"26,99","27,1","27,1","27,1","27,1","27,1","25,73","27,1","27,1","27,1","27,1","27,1","27,1","27,1","27,1","40,06","40,06"
05-01-2014,06 - 07,"27,71","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","40,01","40,01"
05-01-2014,07 - 08,"28,04","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","28,03","42,94","42,94"
05-01-2014,08 - 09,"28,11","28,15","28,15","28,15","28,15","28,15","26,61","28,15","28,15","28,15","28,15","28,15","28,15","28,15","29,86","41,99","41,99"
05-01-2014,09 - 10,"28,48","28,54","28,54","28,54","28,54","28,54","27,42","28,54","28,54","28,54","28,54","28,54","28,54","28,54","31,96","45,01","45,01"
05-01-2014,10 - 11,"29,87","29,93","29,93","29,93","29,93","30,14","31,06","29,93","29,93","29,93","29,93","29,93","29,93","29,93","32,49","45,04","45,04"
05-01-2014,11 - 12,"30,64","30,96","30,96","30,96","30,96","30,96","32,5","32,5","30,45","30,45","30,45","30,96","30,96","30,96","32,78","45,05","45,05"
05-01-2014,12 - 13,"30,77","31,16","31,16","31,16","31,16","31,16","31,71","31,71","30,55","30,55","30,55","31,16","31,16","31,16","32,85","45,05","45,05"
05-01-2014,13 - 14,"30,01","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","30,06","33,01","45,06","45,06"
05-01-2014,14 - 15,"29,35","29,31","29,31","29,31","29,31","32,39","28,75","29,31","29,31","29,31","29,31","29,31","29,31","29,31","33,35","45,04","45,04"
05-01-2014,15 - 16,"29,89","29,7","29,7","29,7","29,7","35,92","28,93","29,7","29,7","29,7","29,7","29,7","29,7","29,7","35,92","46,09","46,09"
05-01-2014,16 - 17,"31,36","31,34","31,34","31,34","31,34","38,41","31,34","31,34","30,94","30,94","30,94","31,34","31,34","31,34","38,41","47,05","47,05"
05-01-2014,17 - 18,"32,34","33,2","33,2","33,2","34,08","38,03","34,08","34,08","30,94","30,94","30,94","33,2","33,2","33,2","38,03","47,05","47,05"
05-01-2014,18 - 19,"31,93","32,39","32,39","32,39","32,39","36,82","32,39","32,39","30,86","30,86","30,86","32,39","32,39","32,39","36,82","47,04","47,04"
05-01-2014,19 - 20,"31,05","31,44","31,44","31,44","31,44","33,41","31,44","31,44","30,73","30,73","30,73","31,44","31,44","31,44","33,41",47,47
05-01-2014,20 - 21,"30,49","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","30,54","31,84","45,09","45,09"
05-01-2014,21 - 22,"29,41","29,4","29,4","29,4","29,4","30,54","29,4","29,4","29,4","29,4","29,4","29,4","29,4","29,4","30,54","36,08","36,08"
05-01-2014,22 - 23,"28,82","28,81","28,81","28,81","28,81","30,32","28,81","28,81","28,81","28,81","28,81","28,81","28,81","28,81","30,32","33,06","33,06"
05-01-2014,23 - 00,"27,54","27,92","27,92","27,92","27,92","27,92","22,08","22,08","27,92","27,92","27,92","27,92","27,92","27,92","27,92","33,03","33,03"
06-01-2014,00 - 01,"26,76","27,48","27,48","27,48","27,48","27,48","13,84","13,84","27,48","27,48","27,48","27,48","27,48","27,48","27,48","33,01","33,01"
06-01-2014,01 - 02,"26,15","26,71","26,71","26,71","26,71","26,71","11,89","11,89","26,71","26,71","26,71","26,71","26,71","26,71","26,71",33,33
06-01-2014,02 - 03,"25,22","26,15","26,15","26,15","26,15","26,15","9,85","9,85","26,15","26,15","26,15","26,15","26,15","26,15","26,15","30,09","30,09"
06-01-2014,03 - 04,"25,35","26,3","26,3","26,3","26,3","26,3","5,09","5,09","26,3","26,3","26,3","26,3","26,3","26,3","26,3","30,09","30,09"
06-01-2014,04 - 05,"25,69","26,44","26,44","26,44","26,44","26,44","3,98","3,98","26,44","26,44","26,44","26,44","26,44","26,44","26,44","40,04","40,04"
06-01-2014,05 - 06,"26,64","27,22","27,22","27,22","27,22","27,22","8,24","27,03","27,22","27,22","27,22","27,22","27,22","27,22","27,22","45,03","45,03"
06-01-2014,06 - 07,"28,06","28,27","28,27","28,27","28,27","28,27","13,21","28,27","28,27","28,27","28,27","28,27","28,27","28,27","35,11","45,06","45,06"
06-01-2014,07 - 08,"28,27","28,37","28,37","28,37","28,37","28,37","26,09","28,37","28,37","28,37","28,37","28,37","28,37","28,37","35,05","45,92","45,92"
06-01-2014,08 - 09,"28,55","28,6","28,6","28,6","28,6","28,6","27,7","28,6","28,6","28,6","28,6","28,6","28,6","28,6","35,44","48,02","48,02"
06-01-2014,09 - 10,"28,69","28,71","28,71","28,71","28,71","28,71","27,82","28,71","28,71","28,71","28,71","28,71","28,71","28,71","35,76","48,04","48,04"
06-01-2014,10 - 11,"28,74","28,8","28,8","28,8","28,8","29,6","26,06","28,8","28,8","28,8","28,8","28,8","28,8","28,8","35,8","48,05","48,05"
06-01-2014,11 - 12,"28,81","28,81","28,81","28,81","28,81","30,3","28,04","28,81","28,81","28,81","28,81","28,81","28,81","28,81","35,71","48,05","48,05"
06-01-2014,12 - 13,"28,79","28,8","28,8","28,8","28,8","29,44","28,1","28,8","28,8","28,8","28,8","28,8","28,8","28,8","35,92","48,06","48,06"
06-01-2014,13 - 14,"28,85","28,86","28,86","28,86","28,86","29,06","28,16","28,86","28,86","28,86","28,86","28,86","28,86","28,86","35,88","48,06","48,06"
06-01-2014,14 - 15,"28,9","28,83","28,83","28,83","28,83","33,52","28,14","28,83","28,83","28,83","28,83","28,83","28,83","28,83","35,98","48,07","48,07"
06-01-2014,15 - 16,"29,26",29,29,29,29,"36,62",29,29,29,29,29,29,29,29,"36,62","48,09","48,09"
06-01-2014,16 - 17,"30,39","30,19","30,19","30,19","30,19","37,58","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","37,58","50,05","50,05"
06-01-2014,17 - 18,"30,89","30,65","30,65","30,65","30,65","41,43","30,65","30,65","30,65","30,65","30,65","30,65","30,65","30,65","41,43","48,09","48,09"
06-01-2014,18 - 19,"30,45","30,22","30,22","30,22","30,22","36,67","30,22","30,22","30,22","30,22","30,22","30,22","30,22","30,22","36,67","48,06","48,06"
06-01-2014,19 - 20,"29,6","29,48","29,48","29,48","29,48","32,07","29,48","29,48","29,48","29,48","29,48","29,48","29,48","29,48","34,15","48,03","48,03"
06-01-2014,20 - 21,"28,97",29,29,29,29,29,29,29,29,29,29,29,29,29,"32,42","48,03","48,03"
06-01-2014,21 - 22,"28,38","28,37","28,37","28,37","28,37","31,99","28,34","28,34","28,37","28,37","28,37","28,37","28,37","28,37","31,99","45,01","45,01"
06-01-2014,22 - 23,"28,07","28,19","28,19","28,19","28,19","28,71","26,02","26,02","28,19","28,19","28,19","28,19","28,19","28,19","28,71","33,05","33,05"
06-01-2014,23 - 00,"27,19","27,82","27,82","27,82","27,82","27,82","11,55","11,55","27,82","27,82","27,82","27,82","27,82","27,82","27,82","33,01","33,01"
07-01-2014,00 - 01,"26,74","27,36","27,36","27,36","27,36","27,36","9,26","9,26","27,36","27,36","27,36","27,36","27,36","27,36","27,36","30,06","30,06"
07-01-2014,01 - 02,"26,32","26,98","26,98","26,98","26,98","26,98","7,59","7,59","26,98","26,98","26,98","26,98","26,98","26,98","26,98","30,04","30,04"
07-01-2014,02 - 03,"25,44","26,57","26,57","26,57","26,57","26,57","0,07","0,07","26,57","26,57","26,57","26,57","26,57","26,57","26,57","30,06","30,06"
07-01-2014,03 - 04,"25,38","26,53","26,53","26,53","26,53","26,53","0,08","0,08","26,53","26,53","26,53","26,53","26,53","26,53","26,53","30,06","30,06"
07-01-2014,04 - 05,"26,41","27,14","27,14","27,14","27,14","27,14","2,05","2,05","27,14","27,14","27,14","27,14","27,14","27,14","27,14","45,99","45,99"
07-01-2014,05 - 06,"27,47","27,88","27,88","27,88","27,88","32,38","6,52","6,52","27,88","27,88","27,88","27,88","27,88","27,88","32,38","47,41","47,41"
07-01-2014,06 - 07,"28,71","28,47","28,47","28,47","28,47","49,78","26,07","28,47","28,47","28,47","28,47","28,47","28,47","28,47","49,78","49,78","49,78"
07-01-2014,07 - 08,"30,6","30,04","30,04","30,04","30,04",58,"30,04","30,04","30,04","30,04","30,04","30,04","30,04","30,04",58,58,58
07-01-2014,08 - 09,"31,15","30,85","30,85","30,85","30,85","45,23","30,85","30,85","30,73","30,73","30,73","30,85","30,85","30,85","45,23","47,57","47,57"
07-01-2014,09 - 10,"30,63","30,17","30,17","30,17","30,17","49,33","30,17","30,17","30,17","30,17","30,17","30,17","30,17","30,17","49,33","49,33","49,33"
07-01-2014,10 - 11,"30,4","29,99","29,99","29,99","29,99","46,43","29,99","29,99","29,99","29,99","29,99","29,99","29,99","29,99","46,43","47,58","47,58"
07-01-2014,11 - 12,"30,59","30,17","30,17","30,17","30,17","47,33","30,17","30,17","30,17","30,17","30,17","30,17","30,17","30,17","47,33","47,56","47,56"
07-01-2014,12 - 13,"30,27","29,83","29,83","29,83","29,83","47,58","29,83","29,83","29,83","29,83","29,83","29,83","29,83","29,83","47,58","47,58","47,58"
07-01-2014,13 - 14,"30,45","30,01","30,01","30,01","30,01","46,42","30,01","30,01","30,01","30,01","30,01","30,01","30,01","30,01","46,42","47,57","47,57"
07-01-2014,14 - 15,"30,56","30,05","30,05","30,05","30,05","48,07","30,05","30,05","30,05","30,05","30,05","30,05","30,05","30,05","48,07","48,07","48,07"
07-01-2014,15 - 16,"30,78","30,27","30,27","30,27","30,27","52,45","30,27","30,27","30,27","30,27","30,27","30,27","30,27","30,27","52,45","52,45","52,45"
07-01-2014,16 - 17,"31,36","30,93","30,93","30,93","30,93","52,07","30,66","30,93","30,66","30,66","30,66","30,93","30,93","30,93","52,07","52,07","52,07"
07-01-2014,17 - 18,"31,48","31,04","31,04","31,04","31,04","48,09","30,73","31,04","30,73","30,73","30,73","31,04","31,04","31,04","48,09","48,09","48,09"
07-01-2014,18 - 19,"30,87","30,43","30,43","30,43","30,43","48,02","30,43","30,43","30,43","30,43","30,43","30,43","30,43","30,43","48,02","48,02","48,02"
07-01-2014,19 - 20,"30,21","29,82","29,82","29,82","29,82","40,78","29,82","29,82","29,82","29,82","29,82","29,82","29,82","29,82","40,78","47,58","47,58"
07-01-2014,20 - 21,"29,63","29,39","29,39","29,39","29,39","34,17","29,39","29,39","29,39","29,39","29,39","29,39","29,39","29,39","34,17","47,58","47,58"
07-01-2014,21 - 22,"28,79","28,59","28,59","28,59","28,59","35,13","28,59","28,59","28,59","28,59","28,59","28,59","28,59","28,59","35,13","36,04","36,04"
