Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 10-01-2018,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
01-01-2016,16.61,16.59,16.59,16.62,16.62,16.92,16.62,16.62,16.62,16.62,16.62,16.59,16.59,16.59,16.92,28.16,28.16,
02-01-2016,15.7,15.62,15.62,15.62,15.62,23.44,14.33,15.62,15.62,15.4,15.62,15.63,15.63,15.63,23.44,31.75,31.75,
03-01-2016,16.8,16.96,16.96,16.96,16.96,19.39,11.77,16.96,16.96,16.05,16.96,17.03,17.03,17.03,19.39,36.28,36.28,19.39
04-01-2016,19.21,18.69,18.69,19.06,19.06,29,16.92,19.06,19.06,18.57,18.7,18.69,18.69,18.69,29,44.83,44.83,29
05-01-2016,22.88,21.18,21.18,21.18,21.18,32.9,19.77,21.18,21.18,19.77,19.77,21.18,21.18,20.43,32.9,46.34,46.34,32.9
06-01-2016,30.09,28.7,28.7,28.7,28.7,36.48,25.76,28.7,28.7,25.76,25.76,28.7,28.7,28.7,36.48,43.09,43.09,36.48
07-01-2016,38.94,49.99,49.99,49.99,49.99,57.91,23.98,49.99,48.16,23.98,23.98,49.99,49.99,49.99,57.91,59.04,59.04,57.91
08-01-2016,32.76,30.48,30.48,30.48,30.48,53.13,25.62,30.48,29.64,26.89,26.99,30.48,30.48,30.48,53.13,57.95,57.95,53.13
09-01-2016,26.64,24.79,24.79,24.79,24.79,34.04,24.42,24.79,24.42,24.42,24.42,24.79,24.79,24.62,34.04,83.48,83.48,34.04
10-01-2016,22.1,21.51,21.51,21.51,21.51,29.29,21.19,21.52,21.51,21.48,21.48,21.51,21.51,21.49,29.29,45.96,45.96,29.29
11-01-2016,33.38,24.69,24.69,32.48,32.72,42.13,32.48,32.72,32.48,32.48,32.48,24.69,24.69,24.64,42.13,87.43,87.43,
12-01-2016,31.33,24.39,24.39,30.59,30.6,34.26,29.54,30.63,29.54,29.54,29.54,24.39,24.39,24.39,34.26,66.33,66.33,
13-01-2016,33.59,30.69,30.69,34.47,34.47,36.83,29.24,34.47,30.02,29.12,29.12,30.69,30.69,30.69,36.83,75.11,79.65,
14-01-2016,43.04,26.06,26.06,55.86,55.86,56.74,30.16,55.86,55.86,30.16,30.16,25.96,25.96,25.96,54.45,56.44,56.44,
15-01-2016,41.92,25.85,25.85,58.24,58.24,60.56,33.84,58.24,58.24,34.09,34.09,25.85,25.85,25.85,60.56,63.67,65.03,
16-01-2016,26.94,24.87,24.87,27.98,27.98,29.84,27.8,27.98,27.98,27.8,27.8,24.87,24.87,23.05,29.84,38.84,38.84,29.84
17-01-2016,25.45,24.26,24.26,26.44,26.46,27.6,26.39,26.46,26.44,26.44,26.44,24.26,24.26,23.86,27.6,36.58,36.58,27.6
18-01-2016,49.26,43.21,43.21,43.21,43.21,56.67,37.81,43.21,43.21,37.93,37.93,42.92,42.92,42.77,56.67,58.32,58.32,
19-01-2016,55.36,57.16,57.16,57.16,57.16,59.2,43.83,57.16,47.31,45.7,45.7,57.16,57.16,57.16,55.99,56.81,56.81,
20-01-2016,50.38,50.92,50.92,50.92,50.92,53,48.65,50.92,50.87,48.65,48.65,50.92,50.92,42.93,52.19,52.23,52.23,
21-01-2016,80.99,88.1,88.1,88.1,88.1,91.92,51.86,88.1,86.39,51.86,51.86,88.1,88.1,88.1,91.33,91.61,91.61,
22-01-2016,37.5,41.86,41.86,41.86,41.86,53.49,27.8,41.86,38.62,27.8,27.8,41.86,41.86,41.86,53.49,55.34,55.34,
23-01-2016,24.58,23.86,23.86,23.86,23.86,30.51,23.86,23.86,23.86,23.86,23.86,23.86,23.86,23.75,30.51,37.12,37.12,30.51
24-01-2016,22.56,22.27,22.27,22.27,22.27,24.75,22.27,22.27,22.27,22.27,22.27,22.27,22.27,21.79,24.75,34.92,34.92,24.75
25-01-2016,26.42,23.43,23.43,24.19,24.23,33.44,24.19,24.23,24.19,24.19,24.19,23.43,23.43,23.43,33.44,45.8,49.21,
26-01-2016,18.5,18.2,18.2,18.2,18.2,28.29,18.2,18.2,18.2,18.2,18.2,18.2,18.2,17.73,28.29,41.81,41.81,
27-01-2016,17.08,16.66,16.66,16.66,16.66,28.86,14.62,14.88,16.69,16.69,16.69,16.66,16.66,16.49,28.86,38.67,38.67,
28-01-2016,17.16,16.79,16.79,16.79,16.79,28.7,16.5,16.55,16.79,16.79,16.79,16.79,16.79,16.79,29.34,38.7,38.7,
29-01-2016,16.72,16.13,16.13,16.13,16.13,28.25,16.13,16.13,16.26,16.26,16.26,16.51,16.51,16.3,28.25,37.64,37.64,
