Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 10-01-2018,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
30-01-2016,14.85,13.65,13.65,13.65,13.65,13.65,11.38,13.67,15.29,15.29,15.29,15.4,15.4,15.31,13.86,29.82,29.82,
31-01-2016,16.56,16.46,16.46,16.46,16.46,21.45,11.24,13.81,16.49,16.49,16.49,16.46,16.46,16.46,21.45,30.42,30.42,
01-02-2016,19.23,17.66,17.66,18.62,18.62,29.94,18.18,18.73,18.62,18.62,18.62,17.66,17.66,17.66,29.94,38.51,38.51,
02-02-2016,17.22,16.9,16.9,16.9,16.9,29.81,13.31,14.47,16.93,16.93,16.93,16.93,16.93,16.93,29.81,30.6,30.6,
03-02-2016,18.39,17.75,17.75,17.75,17.75,30.38,16.53,16.53,17.75,17.75,17.75,17.75,17.75,17.75,30.38,31.14,31.14,
04-02-2016,18.69,18.1,18.1,18.22,18.22,29.2,18.2,18.26,18.22,18.22,18.22,18.1,18.1,18.1,29.2,31.54,31.54,
05-02-2016,23.01,20.55,20.55,20.78,20.78,33.81,20.78,20.78,20.78,20.78,20.78,20.55,20.55,20.27,33.81,34.95,34.95,
06-02-2016,16.24,16.01,16.01,16.01,16.01,26.95,15.35,16.01,16.01,16.01,16.01,16.02,16.02,16.02,29.53,29.67,29.67,
07-02-2016,14.95,14.7,14.7,14.7,14.7,15.08,9.52,14.64,14.81,14.81,14.81,15.66,15.66,15.66,23.07,25.29,25.29,
08-02-2016,15.48,14.4,14.4,14.4,14.4,28.66,13.12,14.4,14.9,14.9,14.9,16.93,16.93,16.02,28.93,31.44,31.44,
09-02-2016,17.18,16.98,16.98,16.98,16.98,27.2,13.39,13.39,16.98,16.98,16.98,17.17,17.17,17.17,27.28,30.02,30.02,
10-02-2016,20.02,19.66,19.66,19.66,19.95,27.96,19.66,19.95,18.66,18.66,18.66,19.66,19.66,19.58,28.93,29.73,29.73,
11-02-2016,20.55,19.31,19.31,20.54,20.54,31.18,20.68,20.68,19.41,19.41,19.41,19.31,19.31,19.29,33.68,34.58,34.58,
12-02-2016,21.81,18.96,18.96,23.15,24.56,32.14,24.01,24.67,21.83,21.83,20.76,18.96,18.96,18.95,34.66,37.13,37.13,
13-02-2016,18.83,18.64,18.64,18.64,18.64,22.84,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64,31.77,32,32,22.84
14-02-2016,17.51,17.53,17.53,17.53,17.62,18.41,17.26,17.43,17.43,17.43,17.43,17.53,17.53,17.53,28.1,29.78,29.78,18.41
15-02-2016,22.9,20.82,20.82,21.5,21.5,28.79,21.17,21.5,20.95,20.95,20.95,20.82,20.82,20.82,30.15,32.96,32.96,
16-02-2016,26.86,25.72,25.72,26.17,27.17,27.95,26.17,28.07,24.93,24.93,24.93,25.72,25.72,25.52,28.35,32.58,32.58,
17-02-2016,18.75,18.58,18.58,18.58,18.97,26.59,18.48,18.97,18.58,18.58,18.58,18.58,18.58,18.16,27.93,32.81,32.81,
18-02-2016,24.14,23.1,23.1,23.1,26.47,26.7,23.1,26.47,23.1,23.1,23.1,23.1,23.1,18.49,27.39,28.03,28.03,
19-02-2016,21.34,20.7,20.7,20.7,24.13,27.22,20.7,24.13,20.7,20.7,20.7,20.71,20.71,18.17,28.14,28.15,28.15,
20-02-2016,16.77,16.35,16.35,16.35,16.35,20.7,13.15,13.72,16.37,16.37,16.37,17.96,17.96,17.53,21.02,21.02,21.02,
21-02-2016,16.22,16.1,16.1,16.1,16.1,16.11,9.36,12.43,16.1,16.1,16.1,18.18,18.18,17.33,18.34,18.34,18.34,
22-02-2016,18.61,18.66,18.66,18.66,18.66,19.94,14.9,15.31,18.66,18.63,18.66,19.01,19.01,18.66,25.52,25.52,25.52,19.94
23-02-2016,19.75,19.78,19.78,19.78,19.78,20.74,19.64,19.78,19.78,19.78,19.78,19.78,19.78,19.4,24.57,24.57,24.57,20.74
24-02-2016,20.42,20.02,20.02,20.02,20.02,28.21,20.02,20.02,20.02,20.02,20.02,20.02,20.02,19.78,28.21,28.29,28.29,
25-02-2016,25.89,25.83,25.83,25.83,25.96,29.51,25.61,25.96,23.69,23.64,23.64,25.83,25.83,21.81,29.57,29.59,29.59,
26-02-2016,23.86,22.7,22.7,22.7,23.52,28.32,22.03,23.52,22.04,22.04,22.04,22.7,22.7,22.7,28.73,28.73,28.73,
27-02-2016,19.64,19.52,19.52,19.52,19.73,21.96,19.52,19.73,19.52,19.52,19.52,19.52,19.52,19.52,26.43,26.43,26.43,21.96
28-02-2016,19.04,18.94,18.94,18.94,19.16,19.93,18.94,19.16,18.92,18.92,18.92,18.94,18.94,18.94,26.14,26.14,26.14,19.93
29-02-2016,24.91,22.22,22.22,22.22,23.26,30.28,22.19,23.26,22.16,22.16,22.16,22.22,22.22,21.67,30.39,30.39,30.39,
01-03-2016,20.57,19.98,19.98,19.98,20.76,28.34,19.98,20.76,19.98,19.98,19.67,19.98,19.98,19.98,28.34,28.55,28.55,
02-03-2016,23.95,21.77,21.77,21.84,23.36,29.53,21.43,23.36,21.84,21.84,21.84,21.77,21.77,21.77,29.76,29.91,29.91,
03-03-2016,25.56,22.41,22.41,22.41,26.57,30.58,22.33,26.57,22.41,22.41,22.41,22.41,22.41,22.35,30.8,30.8,30.8,
04-03-2016,23.78,22.19,22.19,22.19,22.67,30.8,22.19,22.67,22.19,22.19,22.19,22.19,22.19,22.19,30.8,30.8,30.8,
05-03-2016,20.1,20.09,20.09,20.09,20.09,20.93,19.4,20.09,20.09,20.09,20.09,20.09,20.09,20.09,26.54,26.54,26.54,20.93
06-03-2016,19.79,19.79,19.79,19.79,19.81,19.79,19.79,19.81,19.79,19.79,19.79,19.79,19.79,19.79,25.11,25.21,25.21,19.79
07-03-2016,23.45,23.49,23.49,23.49,23.91,23.49,23.49,23.91,23.17,23.17,23.17,23.49,23.49,23.49,28.44,28.44,28.44,
08-03-2016,25.45,25.62,25.62,25.62,25.89,25.62,25.65,25.89,24.54,24.54,24.54,25.62,25.62,25.62,29.33,29.33,29.33,
09-03-2016,24.28,22.87,22.87,22.87,23.47,33.11,22.87,23.47,22.5,22.5,22.5,22.87,22.87,22.87,33.62,33.62,33.62,
10-03-2016,25.01,23.83,23.83,23.83,23.84,32.39,23.78,23.84,23.17,23.17,23.17,23.83,23.83,23.83,32.86,32.86,32.86,
11-03-2016,26.74,26.8,26.8,26.8,26.8,31.79,26.8,26.8,24.52,24.52,24.52,26.8,26.8,21.47,32.01,32.01,32.01,
12-03-2016,22.54,23.1,23.1,23.1,23.1,23.1,23.1,23.1,22.78,22.78,22.78,23.1,23.1,19.25,24.72,24.72,24.72,23.1
13-03-2016,21.52,21.88,21.88,21.88,21.91,21.88,21.88,21.91,21.88,21.88,21.88,21.88,21.88,19.1,23.24,23.24,23.24,21.88
14-03-2016,22.58,22.67,22.67,22.67,25.17,32.13,22.91,25.17,22.38,22.38,22.38,22.67,22.67,20.5,32.13,32.13,32.13,
15-03-2016,22.23,22.47,22.47,22.47,24.91,29.09,22.47,24.91,22.13,22.13,22.13,22.47,22.47,20.36,29.65,29.65,29.65,
16-03-2016,21.76,21.86,21.86,21.86,24.01,26.56,22.16,24.01,21.84,21.84,21.84,21.86,21.86,20.53,28.25,28.25,28.25,
17-03-2016,21.89,22.17,22.17,22.17,23.63,24.12,22.17,23.63,22.16,22.16,22.16,22.17,22.17,20.26,27.4,27.4,27.4,
18-03-2016,21.83,21.75,21.75,21.75,22.23,29.15,21.75,22.23,21.75,21.75,21.75,21.86,21.86,20.76,29.15,29.15,29.15,
19-03-2016,21.44,21.46,21.46,21.46,21.46,21.61,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.24,22.35,22.35,22.35,
20-03-2016,20.38,20.38,20.38,20.38,20.38,20.43,20.14,20.38,20.38,20.38,20.38,20.38,20.38,20.38,30.11,30.11,30.11,
21-03-2016,21.71,21.46,21.46,21.46,21.46,35.84,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46,36.42,37.11,40.98,
22-03-2016,21.86,22.12,22.12,22.12,22.12,32.7,21.89,22.12,21.51,21.51,21.51,22.12,22.12,22.12,33.11,33.28,44,
23-03-2016,21.74,21.59,21.59,21.59,21.72,34.68,21.59,21.72,21.5,21.5,21.5,21.59,21.59,21.56,35.96,38.08,45.18,
24-03-2016,21.32,21.17,21.17,21.17,21.56,30.04,21.17,21.56,21.16,21.16,21.16,21.17,21.17,21.17,31.47,33.09,35.77,
25-03-2016,20.58,20.52,20.52,20.52,20.52,22.35,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,29.05,30.08,34.79,
26-03-2016,19.53,19.54,19.54,19.54,19.54,19.56,19.19,19.43,19.54,19.54,19.54,19.54,19.54,19.54,29.26,31.31,31.31,
27-03-2016,16.88,16.7,16.7,16.7,16.7,16.7,12.75,13.84,17.12,17.12,17.12,16.91,16.91,16.91,20.72,22.62,22.62,
28-03-2016,16.81,17.03,17.03,17.03,17.03,17.89,3.68,09.01,17.2,17.2,17.2,17.03,17.03,17.03,24.46,25.98,25.98,
29-03-2016,19.88,19.66,19.66,19.66,19.66,30.04,18.38,19.73,19.68,19.68,19.68,19.66,19.66,19.66,30.49,32.13,32.13,
30-03-2016,21.78,21.4,21.4,21.4,21.4,35.1,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.39,35.49,36.58,36.62,
31-03-2016,22.42,21.86,21.86,21.86,26.41,30.19,21.91,26.41,21.67,21.67,21.67,21.86,21.86,21.86,30.19,30.19,30.19,
01-04-2016,22.87,22.28,22.28,22.28,24.93,28.3,23.27,24.93,22.01,22.01,22.01,22.28,22.28,22.28,30.02,30.02,30.02,
02-04-2016,20.54,20.54,20.54,20.54,20.54,20.54,20.46,20.56,20.54,20.54,20.54,20.54,20.54,20.54,29.9,29.9,29.9,
03-04-2016,19.77,19.78,19.78,19.78,19.78,19.78,19.72,19.82,19.77,19.77,19.77,19.78,19.78,19.78,30.45,30.45,30.45,
04-04-2016,23.11,22.84,22.84,22.84,23.22,32.92,22.83,23.22,22.74,22.74,22.74,22.84,22.84,20.68,34.64,34.64,34.64,
05-04-2016,22.69,24.94,24.94,24.94,25.04,28.71,24.93,25.04,22.08,22.08,22.08,24.94,24.94,20.12,31.48,31.48,31.48,
06-04-2016,20.99,21.03,21.03,21.03,21.03,28.44,20.93,21.03,20.95,20.93,20.95,21.09,21.09,19.88,29.5,29.5,29.5,
07-04-2016,20.24,20.17,20.17,20.17,20.17,23.38,20.15,20.17,20.17,20.17,20.17,20.61,20.61,19.94,28.9,28.9,28.9,
08-04-2016,21.58,21.64,21.64,21.64,21.64,24.91,21.64,21.64,21.64,21.64,21.64,21.64,21.64,20.21,31.61,31.61,31.73,
09-04-2016,21.25,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,20.19,31.04,31.04,31.04,
10-04-2016,20.44,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.09,30.13,30.13,30.13,
11-04-2016,22.92,22.46,22.46,22.46,22.46,31.62,22.31,22.46,22.31,22.31,22.31,22.46,22.46,20.17,33.51,33.51,33.51,
12-04-2016,22.18,22.16,22.16,22.16,22.16,28.8,22.16,22.16,22.16,22.16,22.16,22.16,22.16,20.33,29.9,29.9,29.9,
13-04-2016,24.29,24.42,24.42,24.42,24.42,29.51,24.42,24.42,24.22,24.22,24.22,24.42,24.42,21.1,31.04,31.13,31.13,
14-04-2016,23.97,24.95,24.95,24.95,24.95,29.34,24.95,24.95,22.74,22.74,22.74,24.95,24.95,21.21,30.87,30.87,30.87,
15-04-2016,22.52,22.32,22.32,22.32,22.32,31.02,22.32,22.32,22.32,22.32,22.32,22.32,22.32,21.13,33.78,34.52,46,
16-04-2016,20.68,20.66,20.66,20.66,20.66,20.73,20.63,20.66,20.66,20.66,20.66,21.53,21.53,20.28,23.98,25.59,29.37,
17-04-2016,18.97,18.51,18.51,18.51,18.51,20.01,17.22,18.4,18.51,18.51,18.69,21.58,21.58,19.86,21.31,21.93,28.47,
18-04-2016,21.18,20.68,20.68,20.68,20.68,33.81,20.68,20.68,20.69,20.69,20.69,21.38,21.38,20.5,33.81,34.32,36.72,
19-04-2016,20.58,19.79,19.79,19.79,19.79,28.75,18.79,19.79,20.16,20.16,20.16,21.71,21.71,20.23,28.75,28.75,28.75,
20-04-2016,21.7,21.42,21.42,21.42,21.42,28.11,21.42,21.42,21.5,21.5,21.54,22.07,22.07,21.2,28.11,28.98,28.98,
21-04-2016,21.82,21.42,21.42,21.42,21.42,32.49,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.28,32.49,33.27,35.81,
22-04-2016,21.75,21.44,21.44,21.44,21.44,29.54,21.44,21.44,21.44,21.44,21.44,21.46,21.46,21.14,29.56,29.56,29.56,
23-04-2016,21.71,21.75,21.75,21.75,21.75,24.67,21.75,21.75,21.75,21.75,21.75,22.14,22.14,20.75,24.93,24.93,32.56,
24-04-2016,21.45,21.38,21.38,21.38,21.38,22.87,21.25,21.38,21.38,21.38,21.38,22.39,22.39,20.84,23.87,25.98,27.34,
25-04-2016,24.93,24.36,24.36,24.38,24.38,31.97,24.38,24.46,24.38,24.38,24.38,24.55,24.55,21.78,31.97,35.03,38.98,
26-04-2016,24.83,24.08,24.08,24.08,24.08,32.76,24.08,24.08,24.08,24.08,24.08,24.21,24.21,21.97,32.76,38.88,45.72,
27-04-2016,24.23,24.09,24.09,24.09,24.09,28.81,24.09,24.09,24.09,24.09,24.09,24.1,24.1,22.09,28.81,31.87,39.31,
28-04-2016,25.38,25.69,25.69,25.69,25.69,27.7,25.69,25.69,25.69,25.69,25.69,25.69,25.69,22.02,27.7,29.87,45.55,
29-04-2016,22.65,22.36,22.36,22.49,22.49,33.26,22.18,22.54,22.49,22.49,22.49,22.37,22.37,22.2,33.26,40.65,40.65,
30-04-2016,22.45,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.68,22.68,21.37,23.7,24.1,24.1,
01-05-2016,21.67,21.72,21.72,21.72,21.72,21.72,21.62,21.74,21.72,21.72,21.72,22.19,22.19,20.91,21.99,21.99,21.99,
02-05-2016,24.18,24.95,24.95,24.95,24.95,24.95,24.89,25.53,24.95,24.95,24.95,25,25,22.17,26.46,29.38,29.38,
03-05-2016,24.1,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.43,24.43,22.54,25.43,28.16,28.16,
04-05-2016,25.05,25.36,25.36,25.36,25.36,31.13,25.87,25.87,25.36,25.36,25.36,25.36,25.36,22.36,31.3,32.26,33.08,
05-05-2016,21.32,21.29,21.29,21.29,21.29,22.51,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.25,25.01,36.63,36.63,
06-05-2016,21.84,21.77,21.77,21.77,21.93,25.83,21.77,21.96,21.77,21.77,21.77,21.77,21.77,21.57,25.83,30.13,30.13,
07-05-2016,18.55,18.56,18.56,18.56,18.56,18.56,18.55,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,18.56,
08-05-2016,16.25,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.91,15.91,16.85,16.85,16.85,15.91,15.91,15.91,
09-05-2016,21.21,21.15,21.15,21.15,21.55,21.51,21.15,21.56,21.15,21.15,21.15,21.15,21.15,21.15,21.51,27.2,27.2,
10-05-2016,23.82,23.48,23.48,23.48,23.7,30.61,23.48,23.74,23.08,23.08,23.08,23.35,23.35,22.66,30.61,33.42,33.42,
11-05-2016,24.25,24.39,24.39,24.39,24.39,33.27,24.39,24.39,23.01,23.01,23.01,24.47,24.47,22.63,33.27,34.09,34.09,
12-05-2016,23.32,24.72,24.72,24.72,24.72,31.86,24.72,24.72,22.32,22.32,22.32,24.61,24.61,22.07,31.86,33.59,33.59,
13-05-2016,25.06,25.92,25.92,25.92,26.25,33.35,25.92,26.52,23.71,23.71,23.71,23.95,23.95,22.78,33.35,35.36,35.36,
14-05-2016,20.32,20.32,20.32,20.32,20.32,20.32,19.73,20.32,20.32,20.32,20.32,20.33,20.33,20.33,20.32,22.47,22.47,
15-05-2016,20.04,20.03,20.03,20.03,20.03,20.38,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.02,20.38,23.85,23.85,
16-05-2016,22.42,22.12,22.12,22.12,22.12,32.13,21.74,22.12,22.03,22.03,22.03,22.09,22.09,21.84,32.13,32.22,32.22,
17-05-2016,24.73,26.11,26.11,26.11,26.11,31.67,23.79,26.11,23.76,23.76,23.76,25.4,25.4,22.56,31.67,33.43,33.43,
18-05-2016,27.46,29.89,29.89,29.89,29.92,31.81,28.1,29.93,25.28,25.28,25.28,29.39,29.39,23.13,31.81,38.14,38.14,
19-05-2016,29.39,32.62,32.62,32.62,32.89,35.82,32.62,32.92,24.67,24.67,24.67,32.45,32.45,30.27,35.82,37.7,37.7,
20-05-2016,25.08,24.85,24.85,24.85,24.85,37.5,24.82,25.24,24.02,24.02,24.02,24.85,24.85,24.55,37.5,45.12,45.12,
21-05-2016,23.03,22.88,22.88,22.88,22.88,26.73,22.85,22.88,22.85,22.85,22.85,22.88,22.88,23.17,26.73,28.47,28.47,
22-05-2016,22.11,22.15,22.15,22.15,22.15,22.15,21.86,22.15,22.03,22.03,22.03,22.15,22.15,22.16,22.15,25.51,25.51,
23-05-2016,24.25,24.23,24.23,24.23,24.23,30.78,24.16,29.24,23.82,23.82,23.82,24.23,24.23,23.14,30.78,39.13,39.13,
24-05-2016,23.95,24.06,24.06,24.06,24.06,29.97,23.84,29.29,23.18,23.18,23.18,24.06,24.06,23.44,30.42,40.26,40.26,
25-05-2016,24.14,24.31,24.31,24.31,24.31,28.38,23.59,30.52,23.55,23.55,23.55,24.31,24.31,23.53,28.44,41.87,41.87,
26-05-2016,25.17,25.29,25.29,25.29,25.29,32.69,25.21,27.7,24.69,24.69,24.69,25.29,25.29,24.07,32.84,39.56,39.56,
27-05-2016,25.92,26.5,26.5,26.5,26.5,40.84,26.5,28.67,24.44,24.44,24.44,25.44,25.44,24.24,40.84,44.57,44.57,
28-05-2016,23.05,23.44,23.44,23.44,23.44,23.44,23.25,23.93,23.04,23.04,23.04,23.44,23.44,22.91,23.44,36.53,41.41,
29-05-2016,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,27.8,27.8,
30-05-2016,22.56,22.72,22.72,22.72,22.72,32.16,21.66,22.72,21.66,21.66,21.54,22.72,22.72,22.21,32.16,38.79,38.91,
31-05-2016,24.28,27.6,27.6,27.6,27.6,36.74,26.38,27.73,22.76,22.76,22.55,26.5,26.5,23.41,36.74,40.94,40.94,
01-06-2016,25.56,30.36,30.36,30.36,30.36,38.87,30.35,30.36,22.73,22.73,22.73,27.68,27.68,24.2,38.87,40.9,40.9,
02-06-2016,24.63,29.37,29.37,29.37,29.37,35.32,28.78,29.37,21.67,21.67,21.67,26.92,26.92,23.89,35.32,37.97,37.97,
03-06-2016,24.52,28.32,28.32,28.93,28.93,33,28.88,28.97,22.03,22.03,21.99,26.46,26.46,23.87,33,38.77,38.77,
04-06-2016,22.85,25.51,25.51,25.51,25.51,25.59,25.12,25.51,21.89,21.89,21.89,24.9,24.9,23.03,25.59,35.3,35.3,
05-06-2016,22.3,25.3,25.3,25.3,25.3,25.49,22.83,25.3,21.42,21.42,21.42,24.78,24.78,22.64,25.49,28.6,28.6,
06-06-2016,26.92,30.84,30.84,30.84,30.84,42.03,30.53,30.88,22.75,22.75,22.55,28.68,28.68,24.53,42.03,42.03,42.03,
07-06-2016,27.4,32.56,32.56,32.56,32.56,37.63,29.12,32.56,23.63,23.63,22.75,31.19,31.19,25.46,37.63,37.63,37.63,
08-06-2016,26.56,29.1,29.1,29.1,29.69,34.57,28.39,29.69,23.68,23.68,23.66,27.94,27.94,25.57,34.57,35.33,35.33,
09-06-2016,27.05,32.16,32.16,32.16,32.16,32.22,29.02,32.16,23.87,23.87,23.87,32.58,32.58,25.24,32.22,35.62,35.62,
10-06-2016,26.49,31.07,31.07,31.07,31.07,33.73,25.47,31.07,23.71,23.71,23.71,31.11,31.11,25.34,35.92,36.02,36.02,
11-06-2016,25.7,29.37,29.37,29.37,29.37,30.35,26.68,29.37,24.05,24.05,24.05,29.37,29.37,24.77,30.35,30.58,30.58,
12-06-2016,25.26,28.85,28.85,28.85,28.85,28.85,24.94,28.85,24,24,24,28.85,28.85,24.91,28.85,31.32,31.32,
13-06-2016,27.85,30.85,30.85,30.85,30.85,30.85,28.56,30.85,25.68,25.68,25.68,30.85,30.85,25.88,30.85,38.91,38.91,
14-06-2016,27.69,36.72,36.72,36.72,36.72,38.07,30.32,36.72,25.49,25.49,25.49,36.72,36.72,25.15,39.48,42.3,42.3,
15-06-2016,28.63,32.36,32.36,32.36,32.36,35.9,30.8,32.36,26.82,26.82,26.26,32.25,32.25,25.37,35.9,38.12,38.12,
16-06-2016,28.65,36.81,36.81,36.81,36.81,36.81,36.31,36.81,26.43,26.43,26.33,36.81,36.81,25.18,36.81,39.68,39.68,
17-06-2016,27.72,34.51,34.51,34.51,34.51,35.68,33.83,34.51,26.31,26.31,26.31,34.51,34.51,24.71,35.68,37.73,37.73,
18-06-2016,24.71,25.28,25.28,25.28,25.28,25.28,24.54,25.28,24.64,24.64,24.64,25.28,25.28,24.38,25.28,25.35,25.35,
19-06-2016,23.67,25.07,25.07,25.07,25.07,25.07,22.82,25.07,23.01,23.01,23.01,25.4,25.4,23.7,25.07,31.38,31.38,
20-06-2016,27.58,33.07,33.07,33.07,33.07,33.12,26.09,33.07,25.73,25.73,25,33.07,33.07,25.06,33.12,46.95,46.95,
21-06-2016,27.78,33.22,33.22,33.22,33.22,33.22,33.15,33.22,26,26,24.85,33.24,33.24,24.96,53.99,56.67,56.67,
22-06-2016,28.17,35.85,35.85,35.85,35.85,35.85,33.2,35.85,25.72,25.72,24.63,35.85,35.85,25.62,35.85,64.11,64.11,
23-06-2016,27.94,32.89,32.89,32.89,32.89,32.89,29.74,32.89,25.1,25.1,24.28,32.89,32.89,25.65,32.89,47.74,47.74,
24-06-2016,27,30.07,30.07,30.07,30.07,30.07,30.01,30.58,24.7,24.7,24.66,30.03,30.03,25.41,30.07,36.58,36.58,
25-06-2016,25.46,28.51,28.51,28.51,28.51,28.51,28.01,28.51,24.15,24.15,24.15,28.59,28.59,24.96,28.51,33.41,33.41,
26-06-2016,23.76,27.07,27.07,27.07,27.07,27.07,23.34,27.07,22.02,22.02,22.02,27.08,27.08,24.25,27.07,27.41,27.41,
27-06-2016,28.41,54.2,54.2,54.2,54.2,54.2,27.16,54.2,23.82,23.82,23.82,43.04,43.04,24.79,54.2,54.2,54.2,
28-06-2016,29.67,78.29,78.29,78.29,78.29,78.29,33.16,78.29,24.43,24.43,24.43,34.87,34.87,24.96,78.29,78.29,78.29,
