Date,NO,SE
2014-07-07,62821.0,23835.0
2014-07-08,62821.0,23835.0
2014-07-09,62821.0,23835.0
2014-07-10,62821.0,23835.0
2014-07-11,62821.0,23835.0
2014-07-12,62821.0,23835.0
2014-07-13,62821.0,23835.0
2014-07-14,64394.0,24609.0
2014-07-15,64394.0,24609.0
2014-07-16,64394.0,24609.0
2014-07-17,64394.0,24609.0
2014-07-18,64394.0,24609.0
2014-07-19,64394.0,24609.0
2014-07-20,64394.0,24609.0
2014-07-21,64806.0,24793.0
2014-07-22,64806.0,24793.0
2014-07-23,64806.0,24793.0
2014-07-24,64806.0,24793.0
2014-07-25,64806.0,24793.0
2014-07-26,64806.0,24793.0
2014-07-27,64806.0,24793.0
2014-07-28,65147.0,24832.0
2014-07-29,65147.0,24832.0
2014-07-30,65147.0,24832.0
2014-07-31,65147.0,24832.0
2014-08-01,65147.0,24832.0
2014-08-02,65147.0,24832.0
2014-08-03,65147.0,24832.0
2014-08-04,65754.0,24946.0
2014-08-05,65754.0,24946.0
2014-08-06,65754.0,24946.0
2014-08-07,65754.0,24946.0
2014-08-08,65754.0,24946.0
2014-08-09,65754.0,24946.0
2014-08-10,65754.0,24946.0
2014-08-11,66330.0,24819.0
2014-08-12,66330.0,24819.0
2014-08-13,66330.0,24819.0
2014-08-14,66330.0,24819.0
2014-08-15,66330.0,24819.0
2014-08-16,66330.0,24819.0
2014-08-17,66330.0,24819.0
2014-08-18,66711.0,25140.0
2014-08-19,66711.0,25140.0
2014-08-20,66711.0,25140.0
2014-08-21,66711.0,25140.0
2014-08-22,66711.0,25140.0
2014-08-23,66711.0,25140.0
2014-08-24,66711.0,25140.0
2014-08-25,66309.0,25000.0
2014-08-26,66309.0,25000.0
2014-08-27,66309.0,25000.0
2014-08-28,66309.0,25000.0
2014-08-29,66309.0,25000.0
2014-08-30,66309.0,25000.0
2014-08-31,66309.0,25000.0
2014-09-01,66054.0,24523.0
2014-09-02,66054.0,24523.0
2014-09-03,66054.0,24523.0
2014-09-04,66054.0,24523.0
2014-09-05,66054.0,24523.0
2014-09-06,66054.0,24523.0
2014-09-07,66054.0,24523.0
2014-09-08,65951.0,24126.0
2014-09-09,65951.0,24126.0
2014-09-10,65951.0,24126.0
2014-09-11,65951.0,24126.0
2014-09-12,65951.0,24126.0
2014-09-13,65951.0,24126.0
2014-09-14,65951.0,24126.0
2014-09-15,64615.0,23606.0
2014-09-16,64615.0,23606.0
2014-09-17,64615.0,23606.0
2014-09-18,64615.0,23606.0
2014-09-19,64615.0,23606.0
2014-09-20,64615.0,23606.0
2014-09-21,64615.0,23606.0
2014-09-22,64405.0,23403.0
2014-09-23,64405.0,23403.0
2014-09-24,64405.0,23403.0
2014-09-25,64405.0,23403.0
2014-09-26,64405.0,23403.0
2014-09-27,64405.0,23403.0
2014-09-28,64405.0,23403.0
2014-09-29,64449.0,23427.0
2014-09-30,64449.0,23427.0
2014-10-01,64449.0,23427.0
2014-10-02,64449.0,23427.0
2014-10-03,64449.0,23427.0
2014-10-04,64449.0,23427.0
2014-10-05,64449.0,23427.0
2014-10-06,65237.0,23518.0
2014-10-07,65237.0,23518.0
2014-10-08,65237.0,23518.0
2014-10-09,65237.0,23518.0
2014-10-10,65237.0,23518.0
2014-10-11,65237.0,23518.0
2014-10-12,65237.0,23518.0
2014-10-13,64640.0,23401.0
2014-10-14,64640.0,23401.0
2014-10-15,64640.0,23401.0
2014-10-16,64640.0,23401.0
2014-10-17,64640.0,23401.0
