,Week,NO,SE
177,22 - 17,37965.0,12696.0
178,23 - 17,44950.0,15186.0
179,24 - 17,50159.0,18185.0
180,25 - 17,53631.0,20285.0
181,26 - 17,55720.0,21751.0
182,27 - 17,56950.0,22576.0
183,28 - 17,58713.0,24418.0
184,29 - 17,60102.0,25453.0
185,30 - 17,61742.0,26000.0
186,31 - 17,64004.0,26679.0
187,32 - 17,65357.0,26900.0
188,33 - 17,66620.0,27290.0
189,34 - 17,66678.0,27381.0
190,35 - 17,66334.0,27241.0
191,36 - 17,66891.0,26887.0
192,37 - 17,68380.0,27346.0
193,38 - 17,68189.0,27182.0
194,39 - 17,68088.0,26797.0
195,40 - 17,70394.0,27180.0
196,41 - 17,70449.0,27269.0
197,42 - 17,70854.0,27470.0
198,43 - 17,71179.0,27397.0
199,44 - 17,70968.0,27244.0
200,45 - 17,69864.0,26901.0
201,46 - 17,68313.0,26302.0
202,47 - 17,67072.0,25651.0
203,48 - 17,64762.0,24901.0
204,49 - 17,64229.0,24360.0
205,50 - 17,61616.0,23368.0
206,51 - 17,60398.0,22745.0
207,52 - 17,59449.0,22188.0
208,02 - 18,57555.0,20281.0
209,03 - 18,54628.0,19159.0
210,04 - 18,52108.0,18222.0
211,05 - 18,49339.0,17152.0
212,06 - 18,46228.0,15843.0
213,07 - 18,43188.0,14554.0
214,08 - 18,39811.0,13221.0
215,09 - 18,36383.0,11769.0
216,10 - 18,33282.0,10493.0
217,11 - 18,30498.0,9294.0
218,12 - 18,27833.0,8229.0
219,13 - 18,25362.0,7181.0
220,14 - 18,23244.0,6380.0
221,15 - 18,21549.0,5705.0
222,16 - 18,22422.0,5672.0
223,17 - 18,23535.0,6763.0
224,18 - 18,24740.0,8490.0
225,19 - 18,33817.0,13115.0
226,20 - 18,39703.0,17462.0
227,21 - 18,43577.0,19281.0
228,22 - 18,47973.0,20367.0
229,23 - 18,49591.0,20494.0
230,24 - 18,51743.0,20739.0
231,25 - 18,53380.0,21620.0
232,26 - 18,53640.0,21680.0
233,27 - 18,53385.0,21524.0
234,28 - 18,52813.0,21349.0
235,29 - 18,52462.0,21356.0
236,30 - 18,52328.0,21390.0
237,31 - 18,52983.0,21523.0
238,32 - 18,54591.0,21708.0
239,33 - 18,56548.0,21911.0
240,34 - 18,57334.0,22126.0
241,35 - 18,56925.0,21985.0
242,36 - 18,57143.0,21552.0
243,37 - 18,60665.0,21442.0
244,38 - 18,64258.0,21938.0
245,39 - 18,66767.0,22871.0
246,40 - 18,66872.0,23176.0
247,41 - 18,69942.0,23564.0
248,42 - 18,70673.0,23965.0
249,43 - 18,70599.0,23955.0
250,44 - 18,69347.0,23740.0
251,45 - 18,68671.0,23525.0
252,46 - 18,68952.0,23795.0
253,47 - 18,66564.0,23080.0
254,48 - 18,64590.0,22211.0
255,49 - 18,62784.0,21649.0
256,50 - 18,59720.0,20619.0
257,51 - 18,57023.0,19461.0
258,52 - 18,55522.0,18662.0
259,01 - 19,54300.0,18035.0
260,02 - 19,52609.0,17301.0
261,03 - 19,50025.0,16239.0
262,04 - 19,46897.0,15003.0
263,05 - 19,43889.0,13793.0
264,06 - 19,41405.0,12848.0
265,07 - 19,39684.0,12065.0
266,08 - 19,38229.0,11207.0
267,09 - 19,36832.0,10463.0
268,10 - 19,34991.0,9690.0
269,11 - 19,33093.0,8711.0
270,12 - 19,31911.0,7993.0
271,13 - 19,31372.0,7518.0
272,14 - 19,30052.0,6906.0
273,15 - 19,28209.0,6123.0
274,16 - 19,27272.0,5697.0
275,17 - 19,31079.0,7650.0
276,18 - 19,34766.0,10050.0
277,19 - 19,34912.0,11201.0
278,20 - 19,36737.0,12601.0
279,21 - 19,43636.0,15331.0
280,22 - 19,45747.0,17171.0
281,23 - 19,52231.0,19835.0
282,24 - 19,56328.0,22379.0
283,25 - 19,59464.0,24248.0
284,26 - 19,61334.0,25300.0
285,27 - 19,62817.0,25945.0
286,28 - 19,62855.0,26124.0
287,29 - 19,63207.0,26084.0
288,30 - 19,64250.0,26231.0
289,31 - 19,64000.0,25937.0
290,32 - 19,64010.0,25669.0
291,33 - 19,65675.0,25864.0
292,34 - 19,67281.0,26044.0
293,35 - 19,68356.0,26104.0
294,36 - 19,69150.0,26376.0
295,37 - 19,71046.0,26817.0
296,38 - 19,71914.0,27207.0
297,39 - 19,71555.0,27208.0
298,40 - 19,70744.0,27044.0
299,41 - 19,70471.0,26634.0
300,42 - 19,70204.0,26270.0
301,43 - 19,70670.0,26315.0
302,44 - 19,69478.0,25846.0
303,45 - 19,67024.0,24885.0
304,46 - 19,64744.0,24177.0
305,47 - 19,62907.0,23667.0
306,48 - 19,60716.0,22921.0
307,49 - 19,59597.0,22429.0
308,50 - 19,58191.0,21817.0
309,51 - 19,56532.0,21044.0
310,52 - 19,,
311,01 - 20,,
