Date,System Price
18-10-2014,31.52
19-10-2014,28.55
20-10-2014,28.66
21-10-2014,30.98
22-10-2014,30.73
23-10-2014,31.12
24-10-2014,28.27
25-10-2014,26.06
26-10-2014,21.21
27-10-2014,22.68
28-10-2014,21.39
29-10-2014,25.01
30-10-2014,28.77
31-10-2014,29.43
01-11-2014,23.18
02-11-2014,18.68
03-11-2014,22.08
04-11-2014,26.13
05-11-2014,30.03
06-11-2014,31.0
07-11-2014,30.56
08-11-2014,27.33
09-11-2014,25.72
10-11-2014,29.42
11-11-2014,30.14
12-11-2014,29.96
13-11-2014,31.13
14-11-2014,30.73
15-11-2014,28.87
16-11-2014,28.01
17-11-2014,30.89
18-11-2014,31.83
19-11-2014,33.35
20-11-2014,34.13
21-11-2014,34.36
22-11-2014,32.13
23-11-2014,30.2
24-11-2014,30.56
25-11-2014,33.23
26-11-2014,33.73
27-11-2014,32.88
28-11-2014,32.18
29-11-2014,31.71
30-11-2014,31.88
01-12-2014,32.95
02-12-2014,33.88
03-12-2014,34.29
04-12-2014,35.36
05-12-2014,33.26
06-12-2014,32.0
07-12-2014,30.36
08-12-2014,32.33
09-12-2014,33.3
10-12-2014,30.34
11-12-2014,30.53
12-12-2014,30.99
13-12-2014,30.59
14-12-2014,30.39
15-12-2014,30.43
16-12-2014,31.44
17-12-2014,32.22
18-12-2014,31.44
19-12-2014,30.31
20-12-2014,28.99
21-12-2014,29.43
22-12-2014,29.24
23-12-2014,29.49
24-12-2014,29.45
25-12-2014,29.92
26-12-2014,31.08
27-12-2014,31.48
28-12-2014,32.94
29-12-2014,42.91
30-12-2014,31.35
31-12-2014,29.09
01-01-2015,26.99
02-01-2015,26.45
03-01-2015,26.81
04-01-2015,28.12
05-01-2015,36.55
06-01-2015,29.72
07-01-2015,30.55
08-01-2015,28.16
09-01-2015,27.79
10-01-2015,26.48
11-01-2015,25.82
12-01-2015,29.3
13-01-2015,29.67
14-01-2015,29.69
15-01-2015,28.09
16-01-2015,27.97
17-01-2015,28.09
18-01-2015,28.15
19-01-2015,34.36
20-01-2015,35.54
21-01-2015,38.88
22-01-2015,39.73
23-01-2015,39.56
24-01-2015,28.43
25-01-2015,28.7
26-01-2015,29.15
27-01-2015,29.73
28-01-2015,27.81
29-01-2015,27.74
30-01-2015,30.44
31-01-2015,28.05
01-02-2015,27.83
02-02-2015,32.95
03-02-2015,37.28
04-02-2015,43.21
05-02-2015,36.48
06-02-2015,30.94
07-02-2015,26.75
08-02-2015,26.78
09-02-2015,28.44
10-02-2015,28.53
11-02-2015,32.2
12-02-2015,32.78
13-02-2015,31.37
14-02-2015,27.51
15-02-2015,26.45
16-02-2015,27.9
17-02-2015,29.32
18-02-2015,27.36
19-02-2015,26.13
20-02-2015,25.83
21-02-2015,25.92
22-02-2015,25.62
23-02-2015,25.68
24-02-2015,26.04
25-02-2015,26.68
26-02-2015,26.33
27-02-2015,25.76
28-02-2015,25.3
