Date,Hour,System Price
09-01-2014,22,28.04
09-01-2014,23,27.01
10-01-2014,0,26.46
10-01-2014,1,25.58
10-01-2014,2,25.32
10-01-2014,3,25.62
10-01-2014,4,26.75
10-01-2014,5,28.18
10-01-2014,6,30.06
10-01-2014,7,32.28
10-01-2014,8,33.26
10-01-2014,9,32.2
10-01-2014,10,31.37
10-01-2014,11,30.94
10-01-2014,12,30.46
10-01-2014,13,30.53
10-01-2014,14,31.02
10-01-2014,15,32.07
10-01-2014,16,32.99
10-01-2014,17,33.66
10-01-2014,18,32.79
10-01-2014,19,31.84
10-01-2014,20,30.97
10-01-2014,21,30.44
10-01-2014,22,29.96
10-01-2014,23,29.3
11-01-2014,0,29.22
11-01-2014,1,28.17
11-01-2014,2,27.8
11-01-2014,3,27.53
11-01-2014,4,27.36
11-01-2014,5,28.26
11-01-2014,6,28.68
11-01-2014,7,29.64
11-01-2014,8,30.04
11-01-2014,9,30.34
11-01-2014,10,30.65
11-01-2014,11,30.78
11-01-2014,12,30.63
11-01-2014,13,30.66
11-01-2014,14,30.54
11-01-2014,15,30.82
11-01-2014,16,31.26
11-01-2014,17,32.94
11-01-2014,18,31.71
11-01-2014,19,31.16
11-01-2014,20,30.21
11-01-2014,21,29.55
11-01-2014,22,29.06
11-01-2014,23,28.55
12-01-2014,0,28.14
12-01-2014,1,27.31
12-01-2014,2,26.65
12-01-2014,3,26.97
12-01-2014,4,27.33
12-01-2014,5,27.69
12-01-2014,6,27.97
12-01-2014,7,28.34
12-01-2014,8,28.86
12-01-2014,9,29.12
12-01-2014,10,29.53
12-01-2014,11,29.81
12-01-2014,12,29.72
12-01-2014,13,29.8
12-01-2014,14,30.02
12-01-2014,15,30.36
12-01-2014,16,32.19
12-01-2014,17,36.74
12-01-2014,18,36.88
12-01-2014,19,35.88
12-01-2014,20,34.51
12-01-2014,21,32.44
12-01-2014,22,32.25
12-01-2014,23,31.02
13-01-2014,0,30.08
13-01-2014,1,29.25
13-01-2014,2,28.72
13-01-2014,3,28.49
13-01-2014,4,29.08
13-01-2014,5,29.99
13-01-2014,6,33.89
13-01-2014,7,44.28
13-01-2014,8,47.72
13-01-2014,9,41.13
13-01-2014,10,37.82
13-01-2014,11,38.89
13-01-2014,12,38.67
13-01-2014,13,40.73
13-01-2014,14,43.7
13-01-2014,15,46.92
13-01-2014,16,55.15
13-01-2014,17,57.05
13-01-2014,18,50.59
13-01-2014,19,44.46
13-01-2014,20,38.25
13-01-2014,21,37.84
13-01-2014,22,34.81
13-01-2014,23,32.33
14-01-2014,0,30.34
14-01-2014,1,29.63
14-01-2014,2,29.55
14-01-2014,3,29.14
14-01-2014,4,29.45
14-01-2014,5,31.37
14-01-2014,6,37.77
14-01-2014,7,48.24
14-01-2014,8,51.87
14-01-2014,9,53.02
14-01-2014,10,52.24
14-01-2014,11,52.25
14-01-2014,12,52.05
